week,state,count
2015-07-06,Alaska,0
2015-07-13,Alaska,0
2015-07-20,Alaska,0
2015-07-27,Alaska,0
2015-08-03,Alaska,0
2015-08-10,Alaska,0
2015-08-17,Alaska,0
2015-08-24,Alaska,0
2015-08-31,Alaska,0
2015-09-07,Alaska,0
2015-09-14,Alaska,0
2015-09-21,Alaska,0
2015-09-28,Alaska,0
2015-10-05,Alaska,0
2015-10-12,Alaska,0
2015-10-19,Alaska,0
2015-10-26,Alaska,0
2015-11-02,Alaska,0
2015-11-09,Alaska,0
2015-11-16,Alaska,0
2015-11-23,Alaska,0
2015-11-30,Alaska,0
2015-12-07,Alaska,0
2015-12-14,Alaska,0
2015-12-21,Alaska,0
2015-12-28,Alaska,0
2016-01-04,Alaska,0
2016-01-11,Alaska,0
2016-01-18,Alaska,0
2016-01-25,Alaska,0
2016-02-01,Alaska,3
2016-02-08,Alaska,1
2016-02-15,Alaska,3
2016-02-22,Alaska,1
2016-02-29,Alaska,0
2016-03-07,Alaska,0
2016-03-14,Alaska,1
2016-03-21,Alaska,15
2016-03-28,Alaska,3
2016-04-04,Alaska,7
2016-04-11,Alaska,0
2016-04-18,Alaska,0
2016-04-25,Alaska,0
2016-05-02,Alaska,0
2016-05-09,Alaska,0
2016-05-16,Alaska,0
2016-05-23,Alaska,0
2016-05-30,Alaska,0
2016-06-06,Alaska,0
2016-06-13,Alaska,0
2016-06-20,Alaska,0
2016-06-27,Alaska,0
2016-07-04,Alaska,0
2016-07-11,Alaska,0
2016-07-18,Alaska,0
2016-07-25,Alaska,0
2016-08-01,Alaska,0
2016-08-08,Alaska,0
2016-08-15,Alaska,0
2016-08-22,Alaska,0
2016-08-29,Alaska,0
2016-09-05,Alaska,0
2016-09-12,Alaska,0
2016-09-19,Alaska,0
2016-09-26,Alaska,0
2016-10-03,Alaska,0
2016-10-10,Alaska,0
2016-10-17,Alaska,0
2016-10-24,Alaska,0
2016-10-31,Alaska,0
2016-11-07,Alaska,3
2016-11-14,Alaska,6
2016-11-21,Alaska,0
2016-11-28,Alaska,6
2016-12-05,Alaska,2
2016-12-12,Alaska,2
2016-12-19,Alaska,0
2016-12-26,Alaska,1
2017-01-02,Alaska,4
2017-01-09,Alaska,1
2017-01-16,Alaska,0
2017-01-23,Alaska,0
2017-01-30,Alaska,4
2017-02-06,Alaska,4
2017-02-13,Alaska,0
2017-02-20,Alaska,0
2017-02-27,Alaska,7
2017-03-06,Alaska,0
2017-03-13,Alaska,0
2017-03-20,Alaska,0
2017-03-27,Alaska,0
2017-04-03,Alaska,0
2017-04-10,Alaska,0
2017-04-17,Alaska,0
2017-04-24,Alaska,0
2017-05-01,Alaska,0
2017-05-08,Alaska,0
2017-05-15,Alaska,0
2017-05-22,Alaska,0
2017-05-29,Alaska,0
2017-06-05,Alaska,0
2017-06-12,Alaska,0
2017-06-19,Alaska,0
2017-06-26,Alaska,0
2017-07-03,Alaska,0
2017-07-10,Alaska,0
2017-07-17,Alaska,0
2017-07-24,Alaska,0
2017-07-31,Alaska,0
