chain,mean_ll,sd_ll,a,b,c_env,phi_E,log_sigma_p,log_sigma_o,log_sigma_E,log_sigma_S,X_0,E_0
0,-105.45560600796519,0.2840839708995201,0.2911250246762581,0.9125761284535682,-0.05829328910741118,0.571695788305712,-1.2773653562213885,-2.004034243401128,-1.391266451144964,-1.7988901726725497,3.0,0.0
1,-104.74322806415016,0.39435375755645513,0.28508701308374174,0.905475950885445,-0.036658263654343326,0.5780075128995681,-1.4221713275305756,-1.863738420208953,-1.2529709102279145,-2.2274995280485586,3.0,0.0
2,-104.88687027719914,0.777326690497428,0.23017613019657546,0.9260746037467398,-0.04855725535801617,0.5554081513846242,-1.253751374562775,-1.9802577093965015,-1.2659822547105883,-2.2801741477542463,3.0,0.0
3,-104.83061462235305,0.688361760371241,0.2663923535498077,0.9213193218154861,-0.1203255413408302,0.4928027437462646,-1.3650336192727341,-1.859476213654413,-1.3065185430470716,-2.1395290654886123,3.0,0.0
4,-104.9519172939251,0.3069130788211462,0.2659115235827804,0.9144172233785098,-0.07985459179170161,0.6179088559082414,-1.3863787947953718,-1.8764096734188676,-1.3349553463753157,-1.8432988682802962,3.0,0.0
5,-104.7222993874595,0.22766909637693908,0.30385240617995124,0.9062721278074396,-0.0015172523959773952,0.5176911151210939,-1.3254552325713627,-1.8909947377618315,-1.2381634046625656,-2.0984309011329176,3.0,0.0
6,-109.14130888200668,0.3936837823229976,0.4909217026007347,0.8468499129242039,-0.09053557868343944,0.7428477577202566,-1.278321218982824,-2.2362154531898164,-1.4637590858794918,-1.8442444359574994,3.0,0.0
7,-105.30194015624099,0.7946012708072743,0.3963086050100883,0.8742100806891503,-0.13172901279552035,0.5603819793513921,-1.3391451322310408,-1.9101278233690298,-1.2954269389264121,-2.339707067869708,3.0,0.0
8,-105.29782981860721,0.6434757005734124,0.30938716786804327,0.9002810411303839,-0.12645945680706963,0.6136089778779901,-1.3557922935319093,-1.8350751548701563,-1.3858472626212859,-1.9706580424893465,3.0,0.0
9,-106.06287563979784,0.3619942642411576,0.23522401712719848,0.9218747334107898,-0.11102714106592591,0.5441838894528,-1.3652344049967415,-1.877812759334706,-1.4279375170967503,-1.900300304644749,3.0,0.0
