GAME_DATE,PTS,Rolling_DEF_RATING,Usage_Missing,home
2024-10-24,28,115.1,0.45699999999999985,0
2024-10-26,23,114.0,0.4570000000000001,0
2024-10-27,35,113.5,0.45699999999999963,1
2024-10-30,18,114.1,0.4570000000000001,1
2024-11-01,30,113.0,0.45699999999999985,0
2024-11-02,25,108.8,0.4570000000000001,0
2024-11-04,21,108.5,0.4570000000000001,1
2024-11-06,28,113.0,0.45699999999999985,0
2024-11-08,29,107.1,0.4570000000000001,1
2024-11-10,24,111.6,0.45699999999999985,1
2024-11-11,45,108.5,0.5199999999999998,1
2024-11-13,29,122.8,0.6669999999999998,1
2024-11-15,28,115.8,0.6669999999999998,1
2024-11-17,36,109.7,0.6669999999999998,1
2024-11-19,32,115.0,0.6859999999999999,0
2024-11-20,28,113.2,0.5209999999999999,1
2024-11-25,37,113.1,0.502,0
2024-11-27,35,107.5,0.502,0
2024-11-29,36,117.7,0.502,0
2024-12-01,32,99.2,0.502,0
2024-12-03,26,117.6,0.502,1
2024-12-05,30,110.2,0.355,0
2024-12-07,31,115.6,0.355,0
2024-12-10,39,109.5,0.355,1
2024-12-14,32,110.9,0.35499999999999976,1
2024-12-19,35,110.9,0.355,0
2024-12-20,25,111.0,0.355,0
2024-12-23,41,115.6,0.21399999999999997,1
2024-12-26,45,105.2,0.36099999999999977,0
2024-12-28,22,113.9,0.6179999999999999,0
2024-12-29,35,104.9,0.361,1
2024-12-31,40,117.1,0.36099999999999977,1
2025-01-02,29,108.6,0.36099999999999977,1
2025-01-03,33,107.3,0.36099999999999977,1
2025-01-05,33,107.2,0.5199999999999998,1
2025-01-08,31,110.5,0.5199999999999998,0
2025-01-10,39,110.4,0.5199999999999998,0
2025-01-12,27,121.1,0.5199999999999998,0
2025-01-14,32,114.3,0.3729999999999998,0
2025-01-16,40,116.7,0.5379999999999998,1
2025-01-19,27,117.8,0.8079999999999998,1
2025-01-22,54,115.3,0.704,1
2025-01-23,31,113.6,0.704,1
2025-01-26,35,111.1,0.506,0
2025-01-29,52,119.3,0.3729999999999998,0
2025-02-01,29,115.6,0.7899999999999998,1
2025-02-03,34,120.1,0.9139999999999999,1
2025-02-05,50,111.3,0.4970000000000001,1
2025-02-07,25,110.4,0.4159999999999999,1
2025-02-08,32,114.9,0.6299999999999999,0
2025-02-10,31,122.6,0.44899999999999984,1
2025-02-12,32,114.8,0.4969999999999999,1
2025-02-13,24,112.4,0.42999999999999994,0
2025-02-21,21,120.5,0.15900000000000025,0
2025-02-23,37,108.7,0.1589999999999998,0
2025-02-24,39,115.4,0.3729999999999998,1
2025-02-26,27,108.3,0.1589999999999998,0
2025-02-28,31,118.6,0.3059999999999998,0
2025-03-02,31,114.5,0.5389999999999999,0
2025-03-03,51,110.6,0.32499999999999996,1
2025-03-05,41,121.1,0.5199999999999998,0
2025-03-09,40,117.6,0.15900000000000025,1
2025-03-10,25,118.0,0.15900000000000025,1
2025-03-12,34,114.5,0.5759999999999998,0
2025-03-15,48,109.7,0.843,0
2025-03-16,31,112.2,0.562,0
2025-03-21,30,119.4,0.562,1
2025-03-23,26,110.1,0.643,0
2025-03-25,32,125.8,0.7529999999999999,0
2025-03-27,37,114.3,0.35899999999999976,1
2025-03-29,33,109.8,0.714,1
2025-03-31,27,112.2,0.35899999999999976,1
2025-04-02,33,119.4,0.647,1
2025-04-04,22,109.4,0.46599999999999997,0
2025-04-06,26,122.0,0.2999999999999998,1
2025-04-08,42,117.5,0.2999999999999998,1
2025-04-20,15,112.2,0.0,1
2025-04-22,27,121.3,0.0,1
2025-04-24,31,119.7,0.0,0
2025-04-26,38,118.2,0.0,0
2025-05-05,33,117.2,0.0,1
2025-05-07,34,117.4,0.0,1
2025-05-09,18,121.6,0.0,0
2025-05-11,25,116.8,0.0,0
2025-05-13,31,114.5,0.0,1
2025-05-15,32,113.5,0.0,0
2025-05-18,35,110.7,0.0,1
2025-05-20,31,104.5,0.0,1
2025-05-22,38,107.2,0.0,1
2025-05-24,14,112.3,0.0,0
2025-05-26,40,111.3,0.0,0
2025-05-28,34,116.1,0.0,1
2025-06-05,38,116.6,0.0,1
2025-06-08,34,111.6,0.0,1
2025-06-11,24,114.6,0.0,0
2025-06-13,35,112.5,0.0,0
2025-06-16,31,113.0,0.0,1
2025-06-19,21,114.7,0.0,0
2025-06-22,29,111.3,0.0,1
