"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  This data file includes only data prior to the 2015-16 influenza season, and will be presented with the public health and clinical labs combined."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v,A (H5)
States,Florida,2010,40,318,9.75,0,0,1,16,0,14,0,X
States,Florida,2010,41,421,13.78,2,0,7,32,0,17,0,X
States,Florida,2010,42,460,16.09,1,0,10,43,0,20,0,X
States,Florida,2010,43,471,16.35,0,0,18,30,0,29,0,X
States,Florida,2010,44,530,20.75,1,0,14,47,0,48,0,X
States,Florida,2010,45,630,25.56,1,0,25,68,0,67,0,X
States,Florida,2010,46,685,22.19,1,0,25,57,0,69,0,X
States,Florida,2010,47,700,26.14,0,0,25,97,0,61,0,X
States,Florida,2010,48,631,21.24,2,0,18,65,0,49,0,X
States,Florida,2010,49,490,21.43,1,0,28,43,0,33,0,X
States,Florida,2010,50,767,25.95,3,0,33,95,0,68,0,X
States,Florida,2010,51,726,34.85,7,0,41,133,0,72,0,X
States,Florida,2010,52,662,30.97,13,0,45,93,0,54,0,X
States,Florida,2011,1,703,28.73,26,0,30,111,0,35,0,X
States,Florida,2011,2,664,29.82,23,0,38,104,0,33,0,X
States,Florida,2011,3,671,29.96,43,0,43,81,0,34,0,X
States,Florida,2011,4,635,32.6,42,0,30,97,0,38,0,X
States,Florida,2011,5,770,30.65,45,0,32,130,0,29,0,X
States,Florida,2011,6,673,27.64,24,0,25,108,0,29,0,X
States,Florida,2011,7,640,21.72,19,0,16,82,0,22,0,X
States,Florida,2011,8,549,19.13,22,0,10,46,0,27,0,X
States,Florida,2011,9,521,15.74,12,0,8,44,0,18,0,X
States,Florida,2011,10,502,9.56,11,0,4,23,0,10,0,X
States,Florida,2011,11,455,6.15,4,0,5,13,0,6,0,X
States,Florida,2011,12,391,5.88,0,0,2,13,0,8,0,X
States,Florida,2011,13,331,5.74,1,0,5,12,0,1,0,X
States,Florida,2011,14,299,2.01,0,0,1,0,0,5,0,X
States,Florida,2011,15,250,4.4,2,0,4,2,0,3,0,X
States,Florida,2011,16,220,2.27,1,0,0,1,0,3,0,X
States,Florida,2011,17,246,5.69,1,0,0,12,0,1,0,X
States,Florida,2011,18,223,3.14,1,0,2,3,0,1,0,X
States,Florida,2011,19,166,0.6,0,0,0,1,0,0,0,X
States,Florida,2011,20,145,0.69,0,0,0,1,0,0,0,X
States,Florida,2011,21,149,2.01,1,0,0,2,0,0,0,X
States,Florida,2011,22,170,1.18,0,0,0,2,0,0,0,X
States,Florida,2011,23,142,0.7,0,0,0,1,0,0,0,X
States,Florida,2011,24,155,3.87,1,0,0,5,0,0,0,X
States,Florida,2011,25,112,0,0,0,0,0,0,0,0,X
States,Florida,2011,26,83,1.2,0,0,0,1,0,0,0,X
States,Florida,2011,27,97,0,0,0,0,0,0,0,0,X
States,Florida,2011,28,74,4.05,0,0,1,0,0,2,0,X
States,Florida,2011,29,87,0,0,0,0,0,0,0,0,X
States,Florida,2011,30,58,1.72,0,0,0,1,0,0,0,X
States,Florida,2011,31,75,5.33,0,0,0,3,0,1,0,X
States,Florida,2011,32,63,6.35,0,0,1,3,0,0,0,X
States,Florida,2011,33,84,5.95,1,0,1,3,0,0,0,X
States,Florida,2011,34,119,6.72,0,0,3,4,0,1,0,X
States,Florida,2011,35,119,7.56,0,0,1,8,0,0,0,X
States,Florida,2011,36,162,4.32,0,0,0,7,0,0,0,X
States,Florida,2011,37,153,5.23,0,0,0,8,0,0,0,X
States,Florida,2011,38,160,3.75,0,0,0,5,0,1,0,X
States,Florida,2011,39,177,9.6,0,0,8,9,0,0,0,X
States,Florida,2011,40,132,3.79,0,0,0,5,0,0,0,X
States,Florida,2011,41,79,0,0,0,0,0,0,0,0,X
States,Florida,2011,42,183,4.37,0,0,2,6,0,0,0,X
States,Florida,2011,43,282,4.26,0,0,0,12,0,0,0,X
