iteration,loglik,run
0,,0
1,-4687896.5,0
2,-4764399.5,0
3,-4975705.5,0
4,-5086433.0,0
5,-5257873.0,0
6,-5435111.5,0
7,-5554725.0,0
8,-5689252.0,0
9,-5801351.5,0
10,-5752477.0,0
11,-5885606.5,0
12,-6042385.5,0
13,-6126799.5,0
14,-6309782.0,0
15,-6347403.5,0
16,-6450320.0,0
17,-6520735.5,0
18,-6733441.0,0
19,-6788629.0,0
20,-6793844.0,0
21,-6947478.0,0
22,-7033240.5,0
23,-7205582.5,0
24,-7201191.5,0
25,-7329430.0,0
26,-7516204.5,0
27,-7644628.5,0
28,-7629871.5,0
29,-7802649.5,0
30,-7860161.0,0
31,-7981141.0,0
32,-8105740.0,0
33,-8120775.0,0
34,-8202602.0,0
35,-8291211.5,0
36,-8334620.0,0
37,-8433232.0,0
38,-8594608.0,0
39,-8709834.0,0
40,-8786486.0,0
41,-8902620.0,0
42,-9156347.0,0
43,-9253386.0,0
44,-9308740.0,0
45,-9342907.0,0
46,-9316769.0,0
47,-9231894.0,0
48,-9258592.0,0
49,-9365747.0,0
50,-9569647.0,0
51,,0
52,-5126200.0,0
53,-5227391.5,0
54,-5411271.5,0
55,-5690758.0,0
56,-5950488.5,0
57,-5902456.0,0
58,-6054664.0,0
59,-6255538.5,0
60,-6410512.5,0
61,-6573592.5,0
62,-6719679.0,0
63,-6980733.5,0
64,-7105197.0,0
65,-7248371.5,0
66,-7425077.5,0
67,-7549463.5,0
68,-7605621.0,0
69,-7884552.0,0
70,-7956403.0,0
71,-7986372.0,0
72,-8161764.0,0
73,-8391392.0,0
74,-8624704.0,0
75,-8678467.0,0
76,-8945936.0,0
77,-8933592.0,0
78,-9109521.0,0
79,-9219468.0,0
80,-9220596.0,0
81,-9085887.0,0
82,-9185243.0,0
83,-9429905.0,0
84,-9616991.0,0
85,-9795172.0,0
86,-9678242.0,0
87,-9759449.0,0
88,-9910832.0,0
89,-9945393.0,0
90,-9971788.0,0
91,-10061841.0,0
92,-10081585.0,0
93,-10159043.0,0
94,-10261859.0,0
95,-10464929.0,0
96,-10584037.0,0
97,-10420816.0,0
98,-10521335.0,0
99,-10479737.0,0
100,-10474060.0,0
101,-10470043.0,0
0,,1
1,-6598039.0,1
2,-7080240.5,1
3,-7294656.5,1
4,-7718930.5,1
5,-7732161.5,1
6,-8003335.5,1
7,-7880010.5,1
8,-8020666.5,1
9,-7963366.5,1
10,-8047483.0,1
11,-8389804.0,1
12,-8575372.0,1
13,-8858852.0,1
14,-9298662.0,1
15,-9249176.0,1
16,-9559901.0,1
17,-9521373.0,1
18,-9925104.0,1
19,-10533109.0,1
20,-11259381.0,1
21,-11496384.0,1
22,-11599883.0,1
23,-12098403.0,1
24,-12606259.0,1
25,-12732047.0,1
26,-12768354.0,1
27,-13315845.0,1
28,-13781216.0,1
29,-13863321.0,1
30,-14432488.0,1
31,-14207730.0,1
32,-13956047.0,1
33,-13998844.0,1
34,-13700986.0,1
35,-13640764.0,1
36,-14088406.0,1
37,-14142894.0,1
38,-14341497.0,1
39,-14314916.0,1
40,-14507837.0,1
41,-14625486.0,1
42,-15253799.0,1
43,-15418020.0,1
44,-14819891.0,1
45,-15537823.0,1
46,-15555765.0,1
47,-16226488.0,1
48,-16230945.0,1
49,-16437109.0,1
50,-16301087.0,1
51,,1
52,-5472809.5,1
53,-5501435.5,1
54,-5764538.0,1
55,-5862216.0,1
56,-6051435.5,1
57,-6285801.0,1
58,-6429993.0,1
59,-6739969.0,1
60,-6891850.5,1
61,-7074859.5,1
62,-7294282.0,1
63,-7476797.5,1
64,-7742405.5,1
65,-8028836.0,1
66,-8321019.5,1
67,-8449669.0,1
68,-8845524.0,1
69,-8972782.0,1
70,-9338467.0,1
71,-9810982.0,1
72,-9960404.0,1
73,-10110340.0,1
74,-10309848.0,1
75,-10686939.0,1
76,-10559253.0,1
77,-10821944.0,1
78,-10845208.0,1
79,-11449925.0,1
80,-11997644.0,1
81,-12278013.0,1
82,-12324281.0,1
83,-12927846.0,1
84,-13224769.0,1
85,-13223238.0,1
86,-13283577.0,1
87,-13588372.0,1
88,-13760461.0,1
89,-14195472.0,1
90,-14509375.0,1
91,-14481810.0,1
92,-14894708.0,1
93,-15493401.0,1
94,-16207724.0,1
95,-15999139.0,1
96,-16279565.0,1
97,-16362021.0,1
98,-16201896.0,1
99,-16386006.0,1
100,-16587975.0,1
101,-16643634.0,1
