iteration,value,parameter,run
0,23.725881576538086,beta,0
1,23.722042083740234,beta,0
2,23.72785186767578,beta,0
3,23.743539810180664,beta,0
4,23.739715576171875,beta,0
5,23.740211486816406,beta,0
6,23.745342254638672,beta,0
7,23.746644973754883,beta,0
8,23.739994049072266,beta,0
9,23.731210708618164,beta,0
10,23.72122573852539,beta,0
11,23.709197998046875,beta,0
12,23.714017868041992,beta,0
13,23.705720901489258,beta,0
14,23.72103500366211,beta,0
15,23.718320846557617,beta,0
16,23.726551055908203,beta,0
17,23.708921432495117,beta,0
18,23.70589256286621,beta,0
19,23.69496726989746,beta,0
20,23.702383041381836,beta,0
21,23.703487396240234,beta,0
22,23.70334243774414,beta,0
23,23.690095901489258,beta,0
24,23.697994232177734,beta,0
25,23.709074020385742,beta,0
26,23.71158790588379,beta,0
27,23.719175338745117,beta,0
28,23.731220245361328,beta,0
29,23.727365493774414,beta,0
30,23.733917236328125,beta,0
31,23.73935890197754,beta,0
32,23.732847213745117,beta,0
33,23.73360824584961,beta,0
34,23.73380470275879,beta,0
35,23.743318557739258,beta,0
36,23.731351852416992,beta,0
37,23.741025924682617,beta,0
38,23.74173355102539,beta,0
39,23.749786376953125,beta,0
40,23.744991302490234,beta,0
41,23.7435359954834,beta,0
42,23.734535217285156,beta,0
43,23.733417510986328,beta,0
44,23.739063262939453,beta,0
45,23.737030029296875,beta,0
46,23.736379623413086,beta,0
47,23.738109588623047,beta,0
48,23.738609313964844,beta,0
49,23.746461868286133,beta,0
50,23.749597549438477,beta,0
51,22.708650588989258,beta,0
52,22.70785140991211,beta,0
53,22.680288314819336,beta,0
54,22.66433334350586,beta,0
55,22.663667678833008,beta,0
56,22.667387008666992,beta,0
57,22.67233657836914,beta,0
58,22.67470359802246,beta,0
59,22.668914794921875,beta,0
60,22.678192138671875,beta,0
61,22.686227798461914,beta,0
62,22.69325828552246,beta,0
63,22.693758010864258,beta,0
64,22.704294204711914,beta,0
65,22.697500228881836,beta,0
66,22.708730697631836,beta,0
67,22.695316314697266,beta,0
68,22.689393997192383,beta,0
69,22.679285049438477,beta,0
70,22.687990188598633,beta,0
71,22.693531036376953,beta,0
72,22.684322357177734,beta,0
73,22.681978225708008,beta,0
74,22.683652877807617,beta,0
75,22.67391014099121,beta,0
76,22.671871185302734,beta,0
77,22.68222999572754,beta,0
78,22.683574676513672,beta,0
79,22.684307098388672,beta,0
80,22.681814193725586,beta,0
81,22.685672760009766,beta,0
82,22.68844985961914,beta,0
83,22.6900577545166,beta,0
84,22.683589935302734,beta,0
85,22.68836784362793,beta,0
86,22.68858528137207,beta,0
87,22.69607162475586,beta,0
88,22.704463958740234,beta,0
89,22.704774856567383,beta,0
90,22.71250343322754,beta,0
91,22.713956832885742,beta,0
92,22.716257095336914,beta,0
93,22.716609954833984,beta,0
94,22.72775650024414,beta,0
95,22.736753463745117,beta,0
96,22.748056411743164,beta,0
97,22.74503517150879,beta,0
98,22.742382049560547,beta,0
99,22.747957229614258,beta,0
100,22.748809814453125,beta,0
101,22.749338150024414,beta,0
0,0.5302896499633789,mu_EI,0
1,0.5512390732765198,mu_EI,0
2,0.5474229454994202,mu_EI,0
3,0.5509061217308044,mu_EI,0
4,0.5491895079612732,mu_EI,0
5,0.5520554184913635,mu_EI,0
6,0.5720240473747253,mu_EI,0
7,0.5620664954185486,mu_EI,0
8,0.5674057006835938,mu_EI,0
9,0.5658036470413208,mu_EI,0
10,0.5642089247703552,mu_EI,0
11,0.5582588911056519,mu_EI,0
12,0.5550915002822876,mu_EI,0
13,0.5515003800392151,mu_EI,0
14,0.5637316703796387,mu_EI,0
15,0.5570588707923889,mu_EI,0
16,0.5659789443016052,mu_EI,0
17,0.5565482378005981,mu_EI,0
18,0.5480437874794006,mu_EI,0
19,0.5433731079101562,mu_EI,0
20,0.5309261679649353,mu_EI,0
21,0.5385850667953491,mu_EI,0
22,0.5419632792472839,mu_EI,0
23,0.5519124865531921,mu_EI,0
24,0.552683413028717,mu_EI,0
25,0.5557069182395935,mu_EI,0
26,0.5591421127319336,mu_EI,0
27,0.5553964376449585,mu_EI,0
28,0.5626341700553894,mu_EI,0
29,0.5613998770713806,mu_EI,0
30,0.5624154806137085,mu_EI,0
31,0.5629734396934509,mu_EI,0
32,0.5588151216506958,mu_EI,0
33,0.5609230399131775,mu_EI,0
34,0.5527011752128601,mu_EI,0
35,0.5488877892494202,mu_EI,0
36,0.5565242171287537,mu_EI,0
37,0.5633625388145447,mu_EI,0
38,0.5586548447608948,mu_EI,0
39,0.5577566027641296,mu_EI,0
40,0.5575999617576599,mu_EI,0
41,0.5531319379806519,mu_EI,0
42,0.5628739595413208,mu_EI,0
43,0.5679759383201599,mu_EI,0
44,0.5633903741836548,mu_EI,0
45,0.5619707703590393,mu_EI,0
46,0.5643925070762634,mu_EI,0
47,0.5624868273735046,mu_EI,0
48,0.5600882768630981,mu_EI,0
49,0.554352879524231,mu_EI,0
50,0.5600231885910034,mu_EI,0
51,0.39714354276657104,mu_EI,0
52,0.4108682870864868,mu_EI,0
53,0.4040036201477051,mu_EI,0
54,0.40552860498428345,mu_EI,0
55,0.3966132700443268,mu_EI,0
56,0.40579888224601746,mu_EI,0
57,0.41063830256462097,mu_EI,0
58,0.4057813882827759,mu_EI,0
59,0.4167698323726654,mu_EI,0
