iteration,loglik,run
0,,0
1,-5725137.0,0
2,-6021741.5,0
3,-6445040.0,0
4,-6676732.0,0
5,-6811927.0,0
6,-7167556.0,0
7,-7455839.0,0
8,-7767917.5,0
9,-8122585.5,0
10,-8036866.0,0
11,-8421511.0,0
12,-8783237.0,0
13,-8960889.0,0
14,-9089853.0,0
15,-9429208.0,0
16,-9690938.0,0
17,-10064228.0,0
18,-10322221.0,0
19,-10059504.0,0
20,-10411548.0,0
21,-10379415.0,0
22,-10555280.0,0
23,-10618638.0,0
24,-10656790.0,0
25,-10897772.0,0
26,-11295595.0,0
27,-12100143.0,0
28,-12224367.0,0
29,-12461363.0,0
30,-12479724.0,0
31,-12622357.0,0
32,-12629029.0,0
33,-12891565.0,0
34,-13188782.0,0
35,-13212461.0,0
36,-13195466.0,0
37,-13492400.0,0
38,-14103099.0,0
39,-14270299.0,0
40,-14504246.0,0
41,-14480821.0,0
42,-14474149.0,0
43,-15124626.0,0
44,-15266103.0,0
45,-15371593.0,0
46,-15352174.0,0
47,-15724665.0,0
48,-16329851.0,0
49,-16403263.0,0
50,-16834540.0,0
51,,0
52,-7733869.0,0
53,-8411514.0,0
54,-8456407.0,0
55,-9440334.0,0
56,-10093853.0,0
57,-9533463.0,0
58,-9235052.0,0
59,-9014804.0,0
60,-9289545.0,0
61,-9555421.0,0
62,-9679216.0,0
63,-9849969.0,0
64,-10147486.0,0
65,-10747984.0,0
66,-10813446.0,0
67,-11172752.0,0
68,-11176572.0,0
69,-11249902.0,0
70,-11385864.0,0
71,-11185069.0,0
72,-11339300.0,0
73,-11230044.0,0
74,-11901065.0,0
75,-11940093.0,0
76,-12375666.0,0
77,-12078596.0,0
78,-12323929.0,0
79,-12410821.0,0
80,-12875938.0,0
81,-13226134.0,0
82,-13633581.0,0
83,-13678029.0,0
84,-13681072.0,0
85,-14033220.0,0
86,-14279886.0,0
87,-14413334.0,0
88,-14619850.0,0
89,-14631532.0,0
90,-14861867.0,0
91,-15001423.0,0
92,-14930155.0,0
93,-15003781.0,0
94,-15309728.0,0
95,-15328551.0,0
96,-15177229.0,0
97,-15363133.0,0
98,-15463205.0,0
99,-15642105.0,0
100,-15403399.0,0
101,-15580031.0,0
0,,1
1,-5093905.0,1
2,-5246194.0,1
3,-5388856.5,1
4,-5422594.0,1
5,-5632447.0,1
6,-5675433.0,1
7,-5744942.0,1
8,-5740128.5,1
9,-5850748.5,1
10,-6003746.0,1
11,-6026998.0,1
12,-6134902.5,1
13,-6299520.5,1
14,-6511854.0,1
15,-6583932.5,1
16,-6722459.0,1
17,-6841949.0,1
18,-7104123.0,1
19,-7174721.0,1
20,-7339889.5,1
21,-7381812.0,1
22,-7452519.0,1
23,-7415525.0,1
24,-7452476.0,1
25,-7409603.5,1
26,-7598740.0,1
27,-7656730.5,1
28,-7740543.0,1
29,-7893351.5,1
30,-8081361.0,1
31,-8088236.5,1
32,-8121290.0,1
33,-8279480.0,1
34,-8394678.0,1
35,-8590563.0,1
36,-8805533.0,1
37,-8919117.0,1
38,-8984223.0,1
39,-8968865.0,1
40,-8996722.0,1
41,-9008714.0,1
42,-9089882.0,1
43,-9206186.0,1
44,-9459813.0,1
45,-9457054.0,1
46,-9396301.0,1
47,-9512246.0,1
48,-9441346.0,1
49,-9472093.0,1
50,-9623705.0,1
51,,1
52,-4537252.0,1
53,-4669405.5,1
54,-4770505.5,1
55,-4926592.0,1
56,-4947491.0,1
57,-5098334.5,1
58,-5179237.5,1
59,-5262943.5,1
60,-5312449.0,1
61,-5433416.5,1
62,-5555880.0,1
63,-5587016.0,1
64,-5710755.0,1
65,-5714469.5,1
66,-5799812.0,1
67,-6041226.0,1
68,-6255252.0,1
69,-6374260.0,1
70,-6511314.0,1
71,-6575652.5,1
72,-6644346.0,1
73,-6636738.0,1
74,-6840255.0,1
75,-6824579.5,1
76,-6875789.0,1
77,-6869671.5,1
78,-7035230.0,1
79,-7100538.0,1
80,-7168016.0,1
81,-7280850.0,1
82,-7357104.0,1
83,-7403631.5,1
84,-7365722.0,1
85,-7351956.0,1
86,-7525598.5,1
87,-7580939.5,1
88,-7556893.0,1
89,-7632949.0,1
90,-7568707.0,1
91,-7564629.0,1
92,-7607749.0,1
93,-7620333.5,1
94,-7718800.0,1
95,-7693317.0,1
96,-7718295.0,1
97,-7817710.0,1
98,-7854211.0,1
99,-7934970.0,1
100,-7982599.0,1
101,-7986735.0,1
