iteration,loglik,run
0,,1
1,-5093905.0,1
2,-5246194.0,1
3,-5388856.5,1
4,-5422594.0,1
5,-5632447.0,1
6,-5675433.0,1
7,-5744942.0,1
8,-5740128.5,1
9,-5850748.5,1
10,-6003746.0,1
11,-6026998.0,1
12,-6134902.5,1
13,-6299520.5,1
14,-6511854.0,1
15,-6583932.5,1
16,-6722459.0,1
17,-6841949.0,1
18,-7104123.0,1
19,-7174721.0,1
20,-7339889.5,1
21,-7381812.0,1
22,-7452519.0,1
23,-7415525.0,1
24,-7452476.0,1
25,-7409603.5,1
26,-7598740.0,1
27,-7656730.5,1
28,-7740543.0,1
29,-7893351.5,1
30,-8081361.0,1
31,-8088236.5,1
32,-8121290.0,1
33,-8279480.0,1
34,-8394678.0,1
35,-8590563.0,1
36,-8805533.0,1
37,-8919117.0,1
38,-8984223.0,1
39,-8968865.0,1
40,-8996722.0,1
41,-9008714.0,1
42,-9089882.0,1
43,-9206186.0,1
44,-9459813.0,1
45,-9457054.0,1
46,-9396301.0,1
47,-9512246.0,1
48,-9441346.0,1
49,-9472093.0,1
50,-9623705.0,1
51,,1
52,-4537252.0,1
53,-4669405.5,1
54,-4770505.5,1
55,-4926592.0,1
56,-4947491.0,1
57,-5098334.5,1
58,-5179237.5,1
59,-5262943.5,1
60,-5312449.0,1
61,-5433416.5,1
62,-5555880.0,1
63,-5587016.0,1
64,-5710755.0,1
65,-5714469.5,1
66,-5799812.0,1
67,-6041226.0,1
68,-6255252.0,1
69,-6374260.0,1
70,-6511314.0,1
71,-6575652.5,1
72,-6644346.0,1
73,-6636738.0,1
74,-6840255.0,1
75,-6824579.5,1
76,-6875789.0,1
77,-6869671.5,1
78,-7035230.0,1
79,-7100538.0,1
80,-7168016.0,1
81,-7280850.0,1
82,-7357104.0,1
83,-7403631.5,1
84,-7365722.0,1
85,-7351956.0,1
86,-7525598.5,1
87,-7580939.5,1
88,-7556893.0,1
89,-7632949.0,1
90,-7568707.0,1
91,-7564629.0,1
92,-7607749.0,1
93,-7620333.5,1
94,-7718800.0,1
95,-7693317.0,1
96,-7718295.0,1
97,-7817710.0,1
98,-7854211.0,1
99,-7934970.0,1
100,-7982599.0,1
101,-7986735.0,1
