iteration,value,parameter,run
0,16.71396827697754,beta,0
1,16.73942756652832,beta,0
2,16.739316940307617,beta,0
3,16.730180740356445,beta,0
4,16.73031234741211,beta,0
5,16.72801399230957,beta,0
6,16.724809646606445,beta,0
7,16.72709846496582,beta,0
8,16.72711753845215,beta,0
9,16.726667404174805,beta,0
10,16.718446731567383,beta,0
11,16.72172737121582,beta,0
12,16.719297409057617,beta,0
13,16.708406448364258,beta,0
14,16.72100830078125,beta,0
15,16.706010818481445,beta,0
16,16.717912673950195,beta,0
17,16.715591430664062,beta,0
18,16.717378616333008,beta,0
19,16.68897819519043,beta,0
20,16.67850112915039,beta,0
21,16.674745559692383,beta,0
22,16.662338256835938,beta,0
23,16.664655685424805,beta,0
24,16.666887283325195,beta,0
25,16.663515090942383,beta,0
26,16.665578842163086,beta,0
27,16.662837982177734,beta,0
28,16.650177001953125,beta,0
29,16.6539249420166,beta,0
30,16.651521682739258,beta,0
31,16.65655517578125,beta,0
32,16.653018951416016,beta,0
33,16.64854621887207,beta,0
34,16.659269332885742,beta,0
35,16.65835189819336,beta,0
36,16.64260482788086,beta,0
37,16.63575553894043,beta,0
38,16.626066207885742,beta,0
39,16.626848220825195,beta,0
40,16.626968383789062,beta,0
41,16.62409782409668,beta,0
42,16.622652053833008,beta,0
43,16.620515823364258,beta,0
44,16.62924575805664,beta,0
45,16.630661010742188,beta,0
46,16.634687423706055,beta,0
47,16.640361785888672,beta,0
48,16.640714645385742,beta,0
49,16.641996383666992,beta,0
50,16.642175674438477,beta,0
51,18.748760223388672,beta,0
52,18.74575424194336,beta,0
53,18.748334884643555,beta,0
54,18.76214027404785,beta,0
55,18.762710571289062,beta,0
56,18.765226364135742,beta,0
57,18.772397994995117,beta,0
58,18.769819259643555,beta,0
59,18.770145416259766,beta,0
60,18.768308639526367,beta,0
61,18.761852264404297,beta,0
62,18.767822265625,beta,0
63,18.76486587524414,beta,0
64,18.786319732666016,beta,0
65,18.786102294921875,beta,0
66,18.78330421447754,beta,0
67,18.784574508666992,beta,0
68,18.788724899291992,beta,0
