iteration,loglik,run
0,,1
1,-7359747.5,1
2,-7305023.5,1
3,-9662883.0,1
4,-12480900.0,1
5,-16138971.0,1
6,-22926070.0,1
7,-43800152.0,1
8,-43037600.0,1
9,-115472912.0,1
10,-136304176.0,1
11,-61012048.0,1
12,-27335.908203125,1
13,-27271.83203125,1
14,-27208.45703125,1
15,-98273704.0,1
16,-92937144.0,1
17,-94660560.0,1
18,-726467520.0,1
19,-26942.01953125,1
20,-26902.814453125,1
21,-26866.080078125,1
22,-26820.998046875,1
23,-837272000.0,1
24,-222137536.0,1
25,-307794112.0,1
26,-65143128.0,1
27,-70449624.0,1
28,-66183432.0,1
29,-60129168.0,1
30,-87025144.0,1
31,-73444784.0,1
32,-67246816.0,1
33,-57266852.0,1
34,-55772928.0,1
35,-52518180.0,1
36,-43992796.0,1
37,-38265520.0,1
38,-41520512.0,1
39,-40979624.0,1
40,-39892376.0,1
41,-49607252.0,1
42,-50885032.0,1
43,-54278964.0,1
44,-76145304.0,1
45,-87625328.0,1
46,-118808752.0,1
47,-143968480.0,1
48,-219084304.0,1
49,-144349968.0,1
50,-151045296.0,1
