iteration,loglik,run
0,,1
1,-6740997.0,1
2,-6805033.0,1
3,-8886406.0,1
4,-11298566.0,1
5,-14328918.0,1
6,-19649606.0,1
7,-33673600.0,1
8,-34098752.0,1
9,-69941208.0,1
10,-79862344.0,1
11,-47467916.0,1
12,-44817868.0,1
13,-49889492.0,1
14,-45773520.0,1
15,-29051256.0,1
16,-29419104.0,1
17,-30536368.0,1
18,-43668708.0,1
19,-46736960.0,1
20,-40033324.0,1
21,-42596728.0,1
22,-39528576.0,1
23,-34204144.0,1
24,-31797188.0,1
25,-33573192.0,1
26,-37425400.0,1
27,-39722724.0,1
28,-38895688.0,1
29,-37318964.0,1
30,-49374168.0,1
31,-45337256.0,1
32,-43273628.0,1
33,-39319676.0,1
34,-38304996.0,1
35,-37109724.0,1
36,-41021108.0,1
37,-38603928.0,1
38,-41893352.0,1
39,-42779340.0,1
40,-41374000.0,1
41,-46658820.0,1
42,-50213996.0,1
43,-59679604.0,1
44,-49038936.0,1
45,-49571324.0,1
46,-45713040.0,1
47,-45553100.0,1
48,-46279452.0,1
49,-44633388.0,1
50,-41211216.0,1
