iteration,loglik,run
0,,5
1,-5504705.0,5
2,-7303269.5,5
3,-10301476.0,5
4,-15448078.0,5
5,-23535470.0,5
6,-18895158.0,5
7,-28952202.0,5
8,-47520412.0,5
9,-27656.5859375,5
10,-27555.1640625,5
11,-27480.099609375,5
12,-27404.603515625,5
13,-27328.900390625,5
14,-27265.234375,5
15,-27203.896484375,5
16,-27145.3828125,5
17,-27092.548828125,5
18,-27042.048828125,5
19,-26985.5234375,5
20,-26942.140625,5
21,-26901.203125,5
22,-26862.087890625,5
23,-26816.640625,5
24,-26784.3203125,5
25,-26751.291015625,5
26,-26716.900390625,5
27,-26684.64453125,5
28,-26653.58203125,5
29,-26627.93359375,5
30,-26595.623046875,5
31,-26569.224609375,5
32,-26544.0703125,5
33,-26517.853515625,5
34,-26494.328125,5
35,-26472.123046875,5
36,-26447.21484375,5
37,-26425.921875,5
38,-26406.4921875,5
39,-26385.150390625,5
40,-26367.34765625,5
41,-26351.869140625,5
42,-26333.439453125,5
43,-26317.5,5
44,-601855168.0,5
45,-199656688.0,5
46,-228270448.0,5
47,-144946672.0,5
48,-247564000.0,5
49,-158007232.0,5
50,-149676800.0,5
