iteration,value,parameter,run
0,23.916351318359375,beta,0
1,23.697052001953125,beta,0
2,23.65324592590332,beta,0
3,23.711589813232422,beta,0
4,24.014652252197266,beta,0
5,24.488475799560547,beta,0
6,24.3747615814209,beta,0
7,24.232316970825195,beta,0
8,24.38379669189453,beta,0
9,24.714162826538086,beta,0
10,24.89851188659668,beta,0
11,25.081918716430664,beta,0
12,24.87323760986328,beta,0
13,25.150550842285156,beta,0
14,24.994897842407227,beta,0
15,25.15924644470215,beta,0
16,25.16399383544922,beta,0
17,25.086719512939453,beta,0
18,24.938217163085938,beta,0
19,24.962514877319336,beta,0
20,24.87982177734375,beta,0
21,24.895727157592773,beta,0
22,24.809263229370117,beta,0
23,24.67595672607422,beta,0
24,24.607646942138672,beta,0
25,24.642696380615234,beta,0
26,24.777149200439453,beta,0
27,24.807260513305664,beta,0
28,24.69282341003418,beta,0
29,24.771081924438477,beta,0
30,24.836809158325195,beta,0
31,24.602792739868164,beta,0
32,24.404781341552734,beta,0
33,24.352222442626953,beta,0
34,24.23407745361328,beta,0
35,24.335800170898438,beta,0
36,24.325870513916016,beta,0
37,24.319320678710938,beta,0
38,24.22923469543457,beta,0
39,24.288686752319336,beta,0
40,24.346416473388672,beta,0
41,24.288246154785156,beta,0
42,24.314350128173828,beta,0
43,24.262104034423828,beta,0
44,24.267847061157227,beta,0
45,24.208890914916992,beta,0
46,24.183635711669922,beta,0
47,24.13890266418457,beta,0
48,24.06813621520996,beta,0
49,24.078027725219727,beta,0
50,24.0179500579834,beta,0
0,0.37998291850090027,mu_EI,0
1,0.07202015817165375,mu_EI,0
2,-0.010939424857497215,mu_EI,0
3,-0.16231480240821838,mu_EI,0
4,-0.026518715545535088,mu_EI,0
5,-0.14804741740226746,mu_EI,0
6,-0.6014792323112488,mu_EI,0
7,-0.8671339154243469,mu_EI,0
8,-0.7577557563781738,mu_EI,0
9,-1.0392204523086548,mu_EI,0
10,-1.4073665142059326,mu_EI,0
11,-1.3510842323303223,mu_EI,0
12,-1.430503010749817,mu_EI,0
13,-1.526635766029358,mu_EI,0
14,-1.594473123550415,mu_EI,0
15,-1.7480124235153198,mu_EI,0
16,-1.7059975862503052,mu_EI,0
17,-1.629180908203125,mu_EI,0
18,-1.786069631576538,mu_EI,0
19,-1.7250603437423706,mu_EI,0
20,-1.6122021675109863,mu_EI,0
21,-1.5689690113067627,mu_EI,0
22,-1.5792250633239746,mu_EI,0
23,-1.5188366174697876,mu_EI,0
24,-1.7823649644851685,mu_EI,0
25,-1.9213405847549438,mu_EI,0
26,-1.8735212087631226,mu_EI,0
27,-1.7755861282348633,mu_EI,0
28,-1.6610937118530273,mu_EI,0
29,-1.6012934446334839,mu_EI,0
30,-1.6377671957015991,mu_EI,0
31,-1.7634294033050537,mu_EI,0
32,-1.7832231521606445,mu_EI,0
33,-1.6709582805633545,mu_EI,0
34,-1.7861199378967285,mu_EI,0
35,-1.75984787940979,mu_EI,0
36,-1.701919674873352,mu_EI,0
37,-1.6936676502227783,mu_EI,0
38,-1.6840733289718628,mu_EI,0
39,-1.6459416151046753,mu_EI,0
40,-1.6302099227905273,mu_EI,0
41,-1.6536686420440674,mu_EI,0
42,-1.6996515989303589,mu_EI,0
43,-1.5502574443817139,mu_EI,0
44,-1.4666811227798462,mu_EI,0
45,-1.2495719194412231,mu_EI,0
46,-1.1627963781356812,mu_EI,0
47,-1.0943756103515625,mu_EI,0
48,-1.1242284774780273,mu_EI,0
49,-1.1975213289260864,mu_EI,0
50,-1.1386549472808838,mu_EI,0
0,0.27412793040275574,mu_IR,0
1,0.25157999992370605,mu_IR,0
2,0.20324651896953583,mu_IR,0
3,0.18846124410629272,mu_IR,0
4,0.24429339170455933,mu_IR,0
5,0.16870953142642975,mu_IR,0
6,0.23218096792697906,mu_IR,0
7,0.30814915895462036,mu_IR,0
8,0.314397394657135,mu_IR,0
9,0.35621777176856995,mu_IR,0
10,0.36123746633529663,mu_IR,0
11,0.37135523557662964,mu_IR,0
12,0.3258521854877472,mu_IR,0
13,0.22012469172477722,mu_IR,0
14,0.30689871311187744,mu_IR,0
15,0.22148631513118744,mu_IR,0
16,0.2611706554889679,mu_IR,0
17,0.278872549533844,mu_IR,0
18,0.392699271440506,mu_IR,0
19,0.25672632455825806,mu_IR,0
20,0.2595233619213104,mu_IR,0
21,0.25399649143218994,mu_IR,0
22,0.3264012336730957,mu_IR,0
23,0.29917973279953003,mu_IR,0
24,0.20454204082489014,mu_IR,0
25,0.2556907832622528,mu_IR,0
26,0.19974395632743835,mu_IR,0
27,0.26330530643463135,mu_IR,0
28,0.3837831914424896,mu_IR,0
29,0.47787463665008545,mu_IR,0
30,0.42143714427948,mu_IR,0
31,0.4783375859260559,mu_IR,0
32,0.5247493982315063,mu_IR,0
33,0.6262973546981812,mu_IR,0
34,0.6923226118087769,mu_IR,0
35,0.7265046238899231,mu_IR,0
36,0.6771876215934753,mu_IR,0
37,0.6260069012641907,mu_IR,0
38,0.6701518297195435,mu_IR,0
39,0.6956846117973328,mu_IR,0
40,0.7389764785766602,mu_IR,0
41,0.6888894438743591,mu_IR,0
42,0.5955838561058044,mu_IR,0
