iteration,loglik,run
0,,0
1,-12142632.0,0
2,-12139870.0,0
3,-12080768.0,0
4,-12017402.0,0
5,-12077992.0,0
6,-12054212.0,0
7,-12023794.0,0
8,-12127284.0,0
9,-12090276.0,0
10,-12075968.0,0
11,-12177470.0,0
12,-12010128.0,0
13,-12032186.0,0
14,-11899784.0,0
15,-11952142.0,0
16,-12012680.0,0
17,-12015260.0,0
18,-11979522.0,0
19,-11970674.0,0
20,-11923488.0,0
21,-11982076.0,0
22,-12065884.0,0
23,-11930224.0,0
24,-11888808.0,0
25,-11916926.0,0
26,-11995030.0,0
27,-11980456.0,0
28,-11985244.0,0
29,-11970954.0,0
30,-12071586.0,0
31,-12007456.0,0
32,-12030394.0,0
33,-11990670.0,0
34,-12044490.0,0
35,-12021916.0,0
36,-11974140.0,0
37,-12064174.0,0
38,-11965380.0,0
39,-11948344.0,0
40,-11966746.0,0
41,-12014308.0,0
42,-12036988.0,0
43,-12087676.0,0
44,-11993874.0,0
45,-12033146.0,0
46,-12087036.0,0
47,-12030800.0,0
48,-11904022.0,0
49,-12000558.0,0
50,-11969390.0,0
0,,1
1,-10273730.0,1
2,-10741084.0,1
3,-11028526.0,1
4,-10244550.0,1
5,-10078408.0,1
6,-10181980.0,1
7,-10178116.0,1
8,-9881732.0,1
9,-9998626.0,1
10,-9941582.0,1
11,-9928856.0,1
12,-10109428.0,1
13,-9765282.0,1
14,-9679698.0,1
15,-9502942.0,1
16,-8794559.0,1
17,-8446368.0,1
18,-8345115.0,1
19,-8256150.0,1
20,-8746567.0,1
21,-9079700.0,1
22,-8792227.0,1
23,-8737148.0,1
24,-8306768.0,1
25,-8829936.0,1
26,-9200062.0,1
27,-9114376.0,1
28,-9542224.0,1
29,-9592830.0,1
30,-9351672.0,1
31,-9583210.0,1
32,-9198924.0,1
33,-9727226.0,1
34,-9773422.0,1
35,-9749988.0,1
36,-9796684.0,1
37,-9948436.0,1
38,-9780104.0,1
39,-9764916.0,1
40,-9806818.0,1
41,-9839944.0,1
42,-9722034.0,1
43,-9627434.0,1
44,-9709448.0,1
45,-9760722.0,1
46,-9758126.0,1
47,-9600442.0,1
48,-9940132.0,1
49,-10037234.0,1
50,-9667622.0,1
0,,2
1,-11984760.0,2
2,-11774842.0,2
3,-11816052.0,2
4,-11766644.0,2
5,-11837390.0,2
6,-11892476.0,2
7,-11918312.0,2
8,-11820282.0,2
9,-11817606.0,2
10,-11871524.0,2
11,-11864766.0,2
12,-11646644.0,2
13,-11743384.0,2
14,-11719326.0,2
15,-11695420.0,2
16,-11791214.0,2
17,-11727522.0,2
18,-11721330.0,2
19,-11773280.0,2
20,-11773082.0,2
21,-11730658.0,2
22,-11706494.0,2
23,-11848586.0,2
24,-11783986.0,2
25,-11879928.0,2
26,-11664036.0,2
27,-11748068.0,2
28,-11713080.0,2
29,-11674712.0,2
30,-11724898.0,2
31,-11758878.0,2
32,-11751184.0,2
33,-11711280.0,2
34,-11629802.0,2
35,-11681730.0,2
36,-11711400.0,2
37,-11767210.0,2
38,-11720784.0,2
39,-11791210.0,2
40,-11680802.0,2
41,-11736908.0,2
42,-11740554.0,2
43,-11693216.0,2
44,-11777886.0,2
45,-11745002.0,2
46,-11783262.0,2
47,-11733604.0,2
48,-11786182.0,2
49,-11721110.0,2
50,-11712856.0,2
