iteration,loglik,run
0,,1
1,-10273730.0,1
2,-10741084.0,1
3,-11028526.0,1
4,-10244550.0,1
5,-10078408.0,1
6,-10181980.0,1
7,-10178116.0,1
8,-9881732.0,1
9,-9998626.0,1
10,-9941582.0,1
11,-9928856.0,1
12,-10109428.0,1
13,-9765282.0,1
14,-9679698.0,1
15,-9502942.0,1
16,-8794559.0,1
17,-8446368.0,1
18,-8345115.0,1
19,-8256150.0,1
20,-8746567.0,1
21,-9079700.0,1
22,-8792227.0,1
23,-8737148.0,1
24,-8306768.0,1
25,-8829936.0,1
26,-9200062.0,1
27,-9114376.0,1
28,-9542224.0,1
29,-9592830.0,1
30,-9351672.0,1
31,-9583210.0,1
32,-9198924.0,1
33,-9727226.0,1
34,-9773422.0,1
35,-9749988.0,1
36,-9796684.0,1
37,-9948436.0,1
38,-9780104.0,1
39,-9764916.0,1
40,-9806818.0,1
41,-9839944.0,1
42,-9722034.0,1
43,-9627434.0,1
44,-9709448.0,1
45,-9760722.0,1
46,-9758126.0,1
47,-9600442.0,1
48,-9940132.0,1
49,-10037234.0,1
50,-9667622.0,1
