iteration,value,parameter,run
0,0.959999144077301,beta,0
1,0.9630192518234253,beta,0
2,0.9667100310325623,beta,0
3,0.9608507752418518,beta,0
4,0.9648886919021606,beta,0
5,0.9656364917755127,beta,0
6,0.9696404933929443,beta,0
7,0.9647152423858643,beta,0
8,0.9576032757759094,beta,0
9,0.9628733992576599,beta,0
10,0.9709575176239014,beta,0
11,0.9709465503692627,beta,0
12,0.9582154750823975,beta,0
13,0.953986406326294,beta,0
14,0.9590951204299927,beta,0
15,0.9550515413284302,beta,0
16,0.9542684555053711,beta,0
17,0.9616642594337463,beta,0
18,0.9508344531059265,beta,0
19,0.947446882724762,beta,0
20,0.9566640853881836,beta,0
21,0.9593698978424072,beta,0
22,0.9579007625579834,beta,0
23,0.9491730332374573,beta,0
24,0.9315680861473083,beta,0
25,0.917213499546051,beta,0
26,0.9207513928413391,beta,0
27,0.931593656539917,beta,0
28,0.9528350830078125,beta,0
29,0.9440375566482544,beta,0
30,0.9412804245948792,beta,0
31,0.9476708173751831,beta,0
32,0.9482793807983398,beta,0
33,0.9505159854888916,beta,0
34,0.9521218538284302,beta,0
35,0.9584502577781677,beta,0
36,0.954423725605011,beta,0
37,0.954241931438446,beta,0
38,0.9520854353904724,beta,0
39,0.9461079239845276,beta,0
40,0.9468638896942139,beta,0
41,0.9527005553245544,beta,0
42,0.9488115906715393,beta,0
43,0.964464008808136,beta,0
44,0.9628943800926208,beta,0
45,0.9533318281173706,beta,0
46,0.9496192336082458,beta,0
47,0.9465659260749817,beta,0
48,0.9517850279808044,beta,0
49,0.9483222365379333,beta,0
50,0.9457589387893677,beta,0
0,0.26427748799324036,gamma,0
1,0.2624484896659851,gamma,0
2,0.25852271914482117,gamma,0
3,0.2546033561229706,gamma,0
4,0.25824621319770813,gamma,0
5,0.26508277654647827,gamma,0
6,0.2704586982727051,gamma,0
7,0.26945924758911133,gamma,0
8,0.2718398869037628,gamma,0
9,0.2820573151111603,gamma,0
10,0.2853875756263733,gamma,0
11,0.27224990725517273,gamma,0
12,0.2566927969455719,gamma,0
13,0.248798668384552,gamma,0
14,0.23848441243171692,gamma,0
15,0.2428399920463562,gamma,0
16,0.24941536784172058,gamma,0
17,0.25924307107925415,gamma,0
18,0.26622459292411804,gamma,0
19,0.2760900855064392,gamma,0
20,0.2772718071937561,gamma,0
21,0.2787763774394989,gamma,0
22,0.2809588611125946,gamma,0
23,0.28202396631240845,gamma,0
24,0.2943150997161865,gamma,0
25,0.28328704833984375,gamma,0
26,0.2828599810600281,gamma,0
27,0.29197126626968384,gamma,0
28,0.2885502278804779,gamma,0
29,0.29070761799812317,gamma,0
30,0.2859063446521759,gamma,0
31,0.2982557415962219,gamma,0
32,0.2918788492679596,gamma,0
33,0.29204317927360535,gamma,0
34,0.2889815866947174,gamma,0
35,0.2979106307029724,gamma,0
36,0.2864782214164734,gamma,0
37,0.2847349941730499,gamma,0
38,0.2823634743690491,gamma,0
39,0.2824022173881531,gamma,0
40,0.2789425253868103,gamma,0
41,0.2807914912700653,gamma,0
42,0.28168821334838867,gamma,0
43,0.27805253863334656,gamma,0
44,0.2671658396720886,gamma,0
45,0.26307544112205505,gamma,0
46,0.25951188802719116,gamma,0
47,0.26145270466804504,gamma,0
48,0.2585012912750244,gamma,0
49,0.2522345185279846,gamma,0
50,0.25375133752822876,gamma,0
0,0.5879185795783997,kappa,0
1,0.5943821668624878,kappa,0
2,0.5984945297241211,kappa,0
3,0.6060791611671448,kappa,0
4,0.6023342609405518,kappa,0
5,0.6092571020126343,kappa,0
6,0.6229687333106995,kappa,0
7,0.6416178941726685,kappa,0
8,0.6409035921096802,kappa,0
9,0.6491523385047913,kappa,0
10,0.6461308598518372,kappa,0
11,0.6457846760749817,kappa,0
12,0.648558497428894,kappa,0
13,0.6459519267082214,kappa,0
14,0.6477106809616089,kappa,0
15,0.6444987654685974,kappa,0
16,0.6314171552658081,kappa,0
17,0.6288309097290039,kappa,0
18,0.6212688684463501,kappa,0
19,0.6155174970626831,kappa,0
20,0.6128236055374146,kappa,0
21,0.61451256275177,kappa,0
22,0.615965723991394,kappa,0
23,0.60847008228302,kappa,0
24,0.6149176955223083,kappa,0
25,0.6109715104103088,kappa,0
26,0.6141730546951294,kappa,0
27,0.605927586555481,kappa,0
28,0.6084102988243103,kappa,0
29,0.5990438461303711,kappa,0
30,0.5925483107566833,kappa,0
31,0.5919135808944702,kappa,0
32,0.5957583785057068,kappa,0
33,0.5811293721199036,kappa,0
34,0.5780512690544128,kappa,0
35,0.5713194608688354,kappa,0
36,0.5659700036048889,kappa,0
37,0.5618842840194702,kappa,0
38,0.5574111342430115,kappa,0
39,0.5621594190597534,kappa,0
40,0.5565199255943298,kappa,0
41,0.5508265495300293,kappa,0
42,0.5441364645957947,kappa,0
43,0.5351557731628418,kappa,0
44,0.5390644669532776,kappa,0
45,0.5484399795532227,kappa,0
46,0.550834596157074,kappa,0
47,0.554175853729248,kappa,0
48,0.5646824836730957,kappa,0
49,0.564399242401123,kappa,0
50,0.5642815232276917,kappa,0
0,0.5603035688400269,sigma,0
1,0.565327525138855,sigma,0
2,0.5578373670578003,sigma,0
3,0.5668092370033264,sigma,0
4,0.5596970319747925,sigma,0
5,0.5676751732826233,sigma,0
6,0.5529794692993164,sigma,0
7,0.5648559927940369,sigma,0
8,0.5669676661491394,sigma,0
9,0.5745354294776917,sigma,0
10,0.5730065107345581,sigma,0
