iteration,loglik,run
0,,0
1,-11586792.0,0
2,-11484816.0,0
3,-11525118.0,0
4,-11371356.0,0
5,-10966300.0,0
6,-11455300.0,0
7,-11236188.0,0
8,-11408330.0,0
9,-11166304.0,0
10,-10144530.0,0
11,-10923742.0,0
12,-10836624.0,0
13,-10801774.0,0
14,-10330542.0,0
15,-10116234.0,0
16,-10631696.0,0
17,-10587652.0,0
18,-10949204.0,0
19,-10276950.0,0
20,-10016366.0,0
21,-10292916.0,0
22,-10022986.0,0
23,-10021616.0,0
24,-10635728.0,0
25,-10133724.0,0
26,-10151606.0,0
27,-10103440.0,0
28,-9984632.0,0
29,-10950664.0,0
30,-9751340.0,0
31,-9985074.0,0
32,-10196986.0,0
33,-10116018.0,0
34,-10069996.0,0
35,-10267194.0,0
36,-10145908.0,0
37,-9574322.0,0
38,-9467970.0,0
39,-9750420.0,0
40,-9755266.0,0
41,-9734200.0,0
42,-9570662.0,0
43,-9729056.0,0
44,-9553820.0,0
45,-9678714.0,0
46,-9749210.0,0
47,-9719674.0,0
48,-9576502.0,0
49,-9612754.0,0
50,-9689332.0,0
51,,0
52,-11640878.0,0
53,-11685492.0,0
54,-11767668.0,0
55,-11570592.0,0
56,-11585636.0,0
57,-11479004.0,0
58,-11694126.0,0
59,-11420504.0,0
60,-11614978.0,0
61,-11531860.0,0
62,-11562410.0,0
63,-11429648.0,0
64,-11311704.0,0
65,-11312024.0,0
66,-11432070.0,0
67,-10766112.0,0
68,-11220282.0,0
69,-11261582.0,0
70,-11479258.0,0
71,-11326052.0,0
72,-11414538.0,0
73,-11379924.0,0
74,-11497266.0,0
75,-11580520.0,0
76,-11516304.0,0
77,-11391512.0,0
78,-11468110.0,0
79,-11478352.0,0
80,-11514398.0,0
81,-11379058.0,0
82,-11506280.0,0
83,-11432888.0,0
84,-11391056.0,0
85,-11370106.0,0
86,-11415768.0,0
87,-11291284.0,0
88,-11116570.0,0
89,-11363786.0,0
90,-11310658.0,0
91,-11033304.0,0
92,-10903944.0,0
93,-11353400.0,0
94,-11296134.0,0
95,-11372674.0,0
96,-11313596.0,0
97,-9837738.0,0
98,-11092498.0,0
99,-11435922.0,0
100,-11336318.0,0
101,-11281338.0,0
0,,1
1,-11789110.0,1
2,-11719962.0,1
3,-11784922.0,1
4,-11739690.0,1
5,-11676166.0,1
6,-11733344.0,1
7,-11796500.0,1
8,-11730278.0,1
9,-11668038.0,1
10,-11601114.0,1
11,-11673336.0,1
12,-11632708.0,1
13,-11388764.0,1
14,-11621328.0,1
15,-11631282.0,1
16,-11440122.0,1
17,-11525224.0,1
18,-11523856.0,1
19,-11432274.0,1
20,-11170934.0,1
21,-11482976.0,1
22,-11613600.0,1
23,-11206974.0,1
24,-11474948.0,1
25,-11121980.0,1
26,-10886494.0,1
27,-11179232.0,1
28,-10813924.0,1
29,-10758894.0,1
30,-10860158.0,1
31,-10616926.0,1
32,-10038020.0,1
33,-9837252.0,1
34,-10191080.0,1
35,-10361960.0,1
36,-10326036.0,1
37,-10560702.0,1
38,-10102276.0,1
39,-10065848.0,1
40,-9948958.0,1
41,-10004850.0,1
42,-9925448.0,1
43,-10009070.0,1
44,-9945398.0,1
45,-9959240.0,1
46,-9926954.0,1
47,-9939804.0,1
48,-9726456.0,1
49,-9936290.0,1
50,-9927272.0,1
51,,1
52,-11914420.0,1
53,-11901306.0,1
54,-11920604.0,1
55,-11889490.0,1
56,-11882748.0,1
57,-11839038.0,1
58,-11815854.0,1
59,-11771958.0,1
60,-11799214.0,1
61,-11700114.0,1
62,-11802724.0,1
63,-11669428.0,1
64,-11615872.0,1
65,-11716262.0,1
66,-11721746.0,1
67,-11734220.0,1
68,-11618714.0,1
69,-11641272.0,1
70,-11695212.0,1
71,-11687312.0,1
72,-11636830.0,1
73,-11396774.0,1
74,-11590122.0,1
75,-11530846.0,1
76,-11582910.0,1
77,-11624058.0,1
78,-11704572.0,1
79,-11676578.0,1
80,-11679402.0,1
81,-11533732.0,1
82,-11601326.0,1
83,-11566578.0,1
84,-11570600.0,1
85,-11647358.0,1
86,-11666126.0,1
87,-11638678.0,1
88,-11673306.0,1
89,-11655224.0,1
90,-11697332.0,1
91,-11599192.0,1
92,-11627926.0,1
93,-11668066.0,1
94,-11626692.0,1
95,-11667608.0,1
96,-11596204.0,1
97,-11611618.0,1
98,-11704806.0,1
99,-11700216.0,1
100,-11693732.0,1
101,-11607752.0,1
