iteration,value,parameter,run
0,0.6819613575935364,beta,0
1,0.6779964566230774,beta,0
2,0.6788710951805115,beta,0
3,0.6787081360816956,beta,0
4,0.6763373613357544,beta,0
5,0.6769621968269348,beta,0
6,0.6869078278541565,beta,0
7,0.6854003071784973,beta,0
8,0.6877433061599731,beta,0
9,0.6650771498680115,beta,0
10,0.6481590867042542,beta,0
11,0.657072901725769,beta,0
12,0.642109751701355,beta,0
13,0.6563453078269958,beta,0
14,0.6582918763160706,beta,0
15,0.6596437096595764,beta,0
16,0.6510084867477417,beta,0
17,0.6555477380752563,beta,0
18,0.6407565474510193,beta,0
19,0.6460800766944885,beta,0
20,0.6355351209640503,beta,0
21,0.6420875191688538,beta,0
22,0.6355055570602417,beta,0
23,0.6400111317634583,beta,0
24,0.6358885169029236,beta,0
25,0.6370536088943481,beta,0
26,0.6362645030021667,beta,0
27,0.6367553472518921,beta,0
28,0.6419905424118042,beta,0
29,0.6511794328689575,beta,0
30,0.6419363021850586,beta,0
31,0.6464938521385193,beta,0
32,0.6407117247581482,beta,0
33,0.642074465751648,beta,0
34,0.6480034589767456,beta,0
35,0.6402636766433716,beta,0
36,0.6284986734390259,beta,0
37,0.6198321580886841,beta,0
38,0.6295740008354187,beta,0
39,0.6260614395141602,beta,0
40,0.6290914416313171,beta,0
41,0.6331590414047241,beta,0
42,0.6187267899513245,beta,0
43,0.6192206740379333,beta,0
44,0.6069822907447815,beta,0
45,0.6114864945411682,beta,0
46,0.6139783263206482,beta,0
47,0.6134423017501831,beta,0
48,0.6150539517402649,beta,0
49,0.6068029403686523,beta,0
50,0.6103523969650269,beta,0
51,0.7120612263679504,beta,0
52,0.7113294005393982,beta,0
53,0.7135925889015198,beta,0
54,0.7228084802627563,beta,0
55,0.718142569065094,beta,0
56,0.7144295573234558,beta,0
57,0.7207396626472473,beta,0
58,0.7440779805183411,beta,0
59,0.7354965806007385,beta,0
60,0.729691743850708,beta,0
61,0.7151505351066589,beta,0
