iteration,value,parameter,run
0,1.5951545238494873,beta,0
1,1.6000059843063354,beta,0
2,1.601983904838562,beta,0
3,1.6109064817428589,beta,0
4,1.598956823348999,beta,0
5,1.5974359512329102,beta,0
6,1.595168948173523,beta,0
7,1.5932695865631104,beta,0
8,1.6129289865493774,beta,0
9,1.6073687076568604,beta,0
10,1.6068711280822754,beta,0
11,1.6079195737838745,beta,0
12,1.6013407707214355,beta,0
13,1.6116864681243896,beta,0
14,1.6038227081298828,beta,0
15,1.5858345031738281,beta,0
16,1.5733979940414429,beta,0
17,1.5711345672607422,beta,0
18,1.5703500509262085,beta,0
19,1.5753422975540161,beta,0
20,1.5731562376022339,beta,0
21,1.5695286989212036,beta,0
22,1.5714020729064941,beta,0
23,1.5824934244155884,beta,0
24,1.5740549564361572,beta,0
25,1.561031460762024,beta,0
26,1.5592271089553833,beta,0
27,1.5716480016708374,beta,0
28,1.5626089572906494,beta,0
29,1.566280484199524,beta,0
30,1.5584365129470825,beta,0
31,1.5595046281814575,beta,0
32,1.5611653327941895,beta,0
33,1.553930401802063,beta,0
34,1.5554271936416626,beta,0
35,1.5505017042160034,beta,0
36,1.560113787651062,beta,0
37,1.559414029121399,beta,0
38,1.5560911893844604,beta,0
39,1.5606454610824585,beta,0
40,1.5618269443511963,beta,0
41,1.5714823007583618,beta,0
42,1.5705910921096802,beta,0
43,1.5717146396636963,beta,0
44,1.56996488571167,beta,0
45,1.5704951286315918,beta,0
46,1.568674087524414,beta,0
47,1.573667049407959,beta,0
48,1.580394983291626,beta,0
49,1.5840532779693604,beta,0
50,1.5924383401870728,beta,0
51,1.9590035676956177,beta,0
52,1.9723968505859375,beta,0
53,1.9811140298843384,beta,0
54,1.978561282157898,beta,0
55,1.9723830223083496,beta,0
56,1.9731049537658691,beta,0
57,1.9809836149215698,beta,0
58,1.979089617729187,beta,0
59,1.9760667085647583,beta,0
60,1.9836026430130005,beta,0
61,1.9879685640335083,beta,0
62,1.9931535720825195,beta,0
63,1.9974933862686157,beta,0
64,1.9956202507019043,beta,0
65,1.9965764284133911,beta,0
66,2.006326198577881,beta,0
67,2.00386118888855,beta,0
68,2.0103209018707275,beta,0
69,1.9940871000289917,beta,0
70,1.99318528175354,beta,0
71,1.988534927368164,beta,0
72,1.9993702173233032,beta,0
73,1.9963393211364746,beta,0
74,1.9904370307922363,beta,0
75,1.9835505485534668,beta,0
76,1.9839253425598145,beta,0
77,1.9957563877105713,beta,0
78,2.0088648796081543,beta,0
79,2.0162453651428223,beta,0
