iteration,value,parameter,run
0,2.2505438327789307,beta,0
1,2.259063482284546,beta,0
2,2.2670180797576904,beta,0
3,2.2607173919677734,beta,0
4,2.2657110691070557,beta,0
5,2.2648026943206787,beta,0
6,2.267703056335449,beta,0
7,2.2724156379699707,beta,0
8,2.2706172466278076,beta,0
9,2.2579712867736816,beta,0
10,2.2567591667175293,beta,0
11,2.2630457878112793,beta,0
12,2.253455638885498,beta,0
13,2.2504115104675293,beta,0
14,2.2674899101257324,beta,0
15,2.2742481231689453,beta,0
16,2.2798800468444824,beta,0
17,2.283073663711548,beta,0
18,2.2688565254211426,beta,0
19,2.265862226486206,beta,0
20,2.2670326232910156,beta,0
21,2.2767698764801025,beta,0
22,2.2713794708251953,beta,0
23,2.267502546310425,beta,0
24,2.265578508377075,beta,0
25,2.272968053817749,beta,0
26,2.269615411758423,beta,0
27,2.2807071208953857,beta,0
28,2.2799603939056396,beta,0
29,2.270629405975342,beta,0
30,2.2689990997314453,beta,0
31,2.290841817855835,beta,0
32,2.291651725769043,beta,0
33,2.2971553802490234,beta,0
34,2.295224666595459,beta,0
35,2.286018133163452,beta,0
36,2.279902935028076,beta,0
37,2.2883384227752686,beta,0
38,2.2828946113586426,beta,0
39,2.2888808250427246,beta,0
40,2.282668352127075,beta,0
41,2.2845587730407715,beta,0
42,2.2896552085876465,beta,0
43,2.27506422996521,beta,0
44,2.2750356197357178,beta,0
45,2.2753567695617676,beta,0
46,2.2758901119232178,beta,0
47,2.271251916885376,beta,0
48,2.2749056816101074,beta,0
49,2.2641685009002686,beta,0
50,2.2578396797180176,beta,0
0,1.8504828214645386,gamma,0
1,1.8468858003616333,gamma,0
2,1.8265782594680786,gamma,0
3,1.831781029701233,gamma,0
4,1.824306845664978,gamma,0
5,1.8291773796081543,gamma,0
6,1.8326069116592407,gamma,0
7,1.819280743598938,gamma,0
8,1.8278042078018188,gamma,0
9,1.8130258321762085,gamma,0
10,1.8194788694381714,gamma,0
11,1.830610752105713,gamma,0
12,1.8327250480651855,gamma,0
13,1.8383179903030396,gamma,0
14,1.8434678316116333,gamma,0
15,1.8532644510269165,gamma,0
16,1.8450108766555786,gamma,0
17,1.8633941411972046,gamma,0
18,1.8728814125061035,gamma,0
19,1.8745695352554321,gamma,0
20,1.8687819242477417,gamma,0
21,1.8701385259628296,gamma,0
22,1.867936611175537,gamma,0
23,1.8732966184616089,gamma,0
24,1.8613404035568237,gamma,0
25,1.8570321798324585,gamma,0
26,1.8651294708251953,gamma,0
27,1.8748297691345215,gamma,0
28,1.873487949371338,gamma,0
29,1.8677886724472046,gamma,0
30,1.8620104789733887,gamma,0
31,1.852380633354187,gamma,0
32,1.8456345796585083,gamma,0
33,1.8384177684783936,gamma,0
34,1.840377926826477,gamma,0
35,1.8416482210159302,gamma,0
36,1.847078561782837,gamma,0
37,1.8567423820495605,gamma,0
38,1.8569549322128296,gamma,0
39,1.8560389280319214,gamma,0
40,1.8527321815490723,gamma,0
41,1.85030198097229,gamma,0
42,1.859100341796875,gamma,0
43,1.865066409111023,gamma,0
44,1.8682093620300293,gamma,0
45,1.867114543914795,gamma,0
46,1.8641301393508911,gamma,0
47,1.8686938285827637,gamma,0
48,1.8723984956741333,gamma,0
49,1.8680680990219116,gamma,0
50,1.8707890510559082,gamma,0
0,0.014579877257347107,eta,0
1,0.016929050907492638,eta,0
2,0.032946500927209854,eta,0
3,0.05293053016066551,eta,0
4,0.06295650452375412,eta,0
5,0.06581341475248337,eta,0
6,0.07539588958024979,eta,0
7,0.0921986922621727,eta,0
8,0.08911358565092087,eta,0
9,0.10996447503566742,eta,0
10,0.11793389916419983,eta,0
11,0.11876144260168076,eta,0
12,0.12231743335723877,eta,0
13,0.1071702241897583,eta,0
14,0.09862352162599564,eta,0
15,0.10524941235780716,eta,0
16,0.09722927957773209,eta,0
17,0.10358298569917679,eta,0
18,0.1136382445693016,eta,0
19,0.1257043033838272,eta,0
20,0.14391160011291504,eta,0
21,0.15439358353614807,eta,0
22,0.16819380223751068,eta,0
23,0.16424152255058289,eta,0
24,0.16559277474880219,eta,0
25,0.1733476221561432,eta,0
26,0.16982890665531158,eta,0
27,0.1812615692615509,eta,0
28,0.19515158236026764,eta,0
29,0.19761602580547333,eta,0
30,0.2042727917432785,eta,0
31,0.2085905820131302,eta,0
32,0.217590793967247,eta,0
33,0.21526020765304565,eta,0
34,0.21402332186698914,eta,0
35,0.2156539112329483,eta,0
36,0.21726030111312866,eta,0
37,0.21261902153491974,eta,0
38,0.21606594324111938,eta,0
39,0.23125647008419037,eta,0
40,0.22501938045024872,eta,0
41,0.23225609958171844,eta,0
42,0.23183347284793854,eta,0
43,0.2335834950208664,eta,0
44,0.2380802035331726,eta,0
45,0.23643063008785248,eta,0
46,0.23833014070987701,eta,0
47,0.23484808206558228,eta,0
48,0.24087122082710266,eta,0
49,0.23546506464481354,eta,0
50,0.23627589643001556,eta,0
0,0.11152303963899612,omega,0
1,0.12263714522123337,omega,0
2,0.10480984300374985,omega,0
3,0.11857008188962936,omega,0
4,0.1073300763964653,omega,0
5,0.10088502615690231,omega,0
6,0.1102372258901596,omega,0
7,0.11514651775360107,omega,0
8,0.12374170124530792,omega,0
9,0.12312611937522888,omega,0
10,0.12607382237911224,omega,0
11,0.1237877756357193,omega,0
12,0.12160870432853699,omega,0
13,0.10002099722623825,omega,0
14,0.09578374028205872,omega,0
15,0.0971062183380127,omega,0
16,0.09403478354215622,omega,0
17,0.10760926455259323,omega,0
18,0.11049152165651321,omega,0
19,0.10795498639345169,omega,0
20,0.10618343949317932,omega,0
21,0.09940362721681595,omega,0
22,0.10749029368162155,omega,0
23,0.09787332266569138,omega,0
24,0.10825356841087341,omega,0
25,0.10136059671640396,omega,0
26,0.09529758244752884,omega,0
27,0.09971467405557632,omega,0
28,0.0969681367278099,omega,0
29,0.09276465326547623,omega,0
30,0.08965130895376205,omega,0
31,0.08103172481060028,omega,0
32,0.06920625269412994,omega,0
33,0.08214884996414185,omega,0
