date,cases
1930-01-01,61.0
1930-02-01,79.0
1930-03-01,86.0
1930-04-01,60.0
1930-05-01,129.0
1930-06-01,515.0
1930-07-01,910.0
1930-08-01,1648.0
1930-09-01,2235.0
1930-10-01,2023.0
1930-11-01,974.0
1930-12-01,289.0
1931-01-01,194.0
1931-02-01,102.0
1931-03-01,106.0
1931-04-01,86.0
1931-05-01,114.0
1931-06-01,161.0
1931-07-01,1110.0
1931-08-01,5894.0
1931-09-01,3527.0
1931-10-01,2295.0
1931-11-01,934.0
1931-12-01,265.0
1932-01-01,196.0
1932-02-01,105.0
1932-03-01,63.0
1932-04-01,82.0
1932-05-01,97.0
1932-06-01,142.0
1932-07-01,322.0
1932-08-01,864.0
1932-09-01,1080.0
1932-10-01,584.0
1932-11-01,182.0
1932-12-01,105.0
1933-01-01,94.0
1933-02-01,47.0
1933-03-01,53.0
1933-04-01,89.0
1933-05-01,68.0
1933-06-01,88.0
1933-07-01,539.0
1933-08-01,1305.0
1933-09-01,1388.0
1933-10-01,846.0
1933-11-01,268.0
1933-12-01,154.0
1934-01-01,97.0
1934-02-01,70.0
1934-03-01,71.0
1934-04-01,126.0
1934-05-01,389.0
1934-06-01,1328.0
1934-07-01,1331.0
1934-08-01,1256.0
1934-09-01,1366.0
1934-10-01,705.0
1934-11-01,332.0
1934-12-01,214.0
1935-01-01,114.0
1935-02-01,106.0
1935-03-01,107.0
1935-04-01,74.0
1935-05-01,136.0
1935-06-01,616.0
1935-07-01,1134.0
1935-08-01,3102.0
1935-09-01,3535.0
1935-10-01,1039.0
1935-11-01,509.0
1935-12-01,253.0
1936-01-01,73.0
1936-02-01,68.0
1936-03-01,85.0
1936-04-01,44.0
1936-05-01,112.0
1936-06-01,141.0
1936-07-01,513.0
1936-08-01,765.0
1936-09-01,1027.0
1936-10-01,931.0
1936-11-01,611.0
1936-12-01,166.0
1937-01-01,123.0
1937-02-01,78.0
1937-03-01,86.0
1937-04-01,83.0
1937-05-01,118.0
1937-06-01,347.0
1937-07-01,1256.0
1937-08-01,2624.0
1937-09-01,3029.0
1937-10-01,1279.0
1937-11-01,322.0
1937-12-01,135.0
1938-01-01,106.0
1938-02-01,86.0
1938-03-01,87.0
1938-04-01,68.0
1938-05-01,80.0
1938-06-01,120.0
1938-07-01,189.0
1938-08-01,203.0
1938-09-01,264.0
1938-10-01,189.0
1938-11-01,90.0
1938-12-01,77.0
1939-01-01,68.0
1939-02-01,60.0
1939-03-01,42.0
1939-04-01,137.0
1939-05-01,187.0
1939-06-01,282.0
1939-07-01,751.0
1939-08-01,1213.0
1939-09-01,1406.0
1939-10-01,1554.0
1939-11-01,412.0
1939-12-01,280.0
1940-01-01,106.0
1940-02-01,93.0
1940-03-01,100.0
1940-04-01,37.0
1940-05-01,119.0
1940-06-01,300.0
1940-07-01,551.0
1940-08-01,1893.0
1940-09-01,2906.0
1940-10-01,1360.0
1940-11-01,796.0
1940-12-01,276.0
1941-01-01,124.0
1941-02-01,75.0
1941-03-01,91.0
1941-04-01,52.0
1941-05-01,87.0
1941-06-01,286.0
1941-07-01,1061.0
1941-08-01,2241.0
1941-09-01,2239.0
1941-10-01,1320.0
1941-11-01,734.0
1941-12-01,190.0
1942-01-01,109.0
1942-02-01,100.0
1942-03-01,67.0
1942-04-01,58.0
1942-05-01,94.0
1942-06-01,156.0
1942-07-01,287.0
1942-08-01,679.0
1942-09-01,933.0
1942-10-01,494.0
1942-11-01,462.0
1942-12-01,212.0
1943-01-01,164.0
1943-02-01,85.0
1943-03-01,93.0
1943-04-01,89.0
1943-05-01,90.0
1943-06-01,485.0
1943-07-01,606.0
1943-08-01,3571.0
1943-09-01,3423.0
1943-10-01,2059.0
1943-11-01,605.0
1943-12-01,177.0
1944-01-01,107.0
1944-02-01,65.0
1944-03-01,53.0
1944-04-01,76.0
1944-05-01,158.0
1944-06-01,460.0
1944-07-01,2990.0
1944-08-01,5484.0
1944-09-01,4097.0
1944-10-01,3343.0
1944-11-01,997.0
1944-12-01,435.0
1945-01-01,142.0
1945-02-01,147.0
1945-03-01,115.0
1945-04-01,156.0
1945-05-01,151.0
1945-06-01,459.0
1945-07-01,1273.0
1945-08-01,3213.0
1945-09-01,4131.0
1945-10-01,2046.0
1945-11-01,585.0
1945-12-01,223.0
1946-01-01,191.0
1946-02-01,157.0
1946-03-01,141.0
1946-04-01,105.0
1946-05-01,362.0
1946-06-01,1133.0
1946-07-01,3291.0
1946-08-01,5174.0
1946-09-01,7214.0
1946-10-01,3299.0
1946-11-01,1579.0
1946-12-01,679.0
1947-01-01,277.0
1947-02-01,177.0
1947-03-01,149.0
1947-04-01,117.0
1947-05-01,148.0
1947-06-01,339.0
1947-07-01,666.0
1947-08-01,2650.0
1947-09-01,3254.0
1947-10-01,1639.0
1947-11-01,1027.0
1947-12-01,269.0
1948-01-01,157.0
1948-02-01,113.0
1948-03-01,106.0
1948-04-01,164.0
1948-05-01,663.0
1948-06-01,924.0
1948-07-01,2708.0
1948-08-01,6809.0
1948-09-01,6633.0
1948-10-01,5192.0
1948-11-01,2284.0
1948-12-01,976.0
1949-01-01,574.0
1949-02-01,235.0
1949-03-01,209.0
1949-04-01,199.0
1949-05-01,542.0
1949-06-01,1409.0
1949-07-01,7555.0
1949-08-01,13021.0
1949-09-01,9372.0
1949-10-01,5893.0
1949-11-01,2426.0
1949-12-01,914.0
1950-01-01,505.0
1950-02-01,396.0
1950-03-01,281.0
1950-04-01,324.0
1950-05-01,434.0
1950-06-01,1168.0
1950-07-01,4129.0
1950-08-01,6176.0
1950-09-01,8053.0
1950-10-01,7412.0
1950-11-01,3034.0
1950-12-01,1490.0
1951-01-01,576.0
1951-02-01,376.0
1951-03-01,220.0
1951-04-01,325.0
1951-05-01,353.0
1951-06-01,885.0
1951-07-01,3995.0
1951-08-01,6752.0
1951-09-01,8107.0
1951-10-01,3786.0
1951-11-01,2030.0
1951-12-01,509.0
1952-01-01,530.0
1952-02-01,292.0
1952-03-01,342.0
1952-04-01,217.0
1952-05-01,517.0
1952-06-01,1890.0
1952-07-01,6482.0
1952-08-01,16971.0
1952-09-01,14912.0
1952-10-01,9236.0
1952-11-01,4373.0
1952-12-01,1266.0
1953-01-01,471.0
1953-02-01,440.0
1953-03-01,357.0
1953-04-01,371.0
1953-05-01,880.0
1953-06-01,1873.0
1953-07-01,5180.0
1953-08-01,10542.0
1953-09-01,7574.0
1953-10-01,4358.0
