year,obs_peak,obs_peak_date,fit_peak,fit_peak_date,peak_abs_error,peak_timing_error_days
1930,2235.0,1930-09-01,2259.768901280643,1930-09-01,24.76890128064315,0
1931,5894.0,1931-08-01,3619.081028684731,1931-09-01,2274.918971315269,31
1932,1080.0,1932-09-01,1034.446462781225,1932-09-01,45.55353721877509,0
1933,1388.0,1933-09-01,1409.7078290417169,1933-09-01,21.707829041716877,0
1934,1366.0,1934-09-01,1651.7763590335462,1934-07-01,285.7763590335462,62
1935,3535.0,1935-09-01,3488.0976681239954,1935-09-01,46.90233187600461,0
1936,1027.0,1936-09-01,999.7961096633207,1936-09-01,27.20389033667925,0
1937,3029.0,1937-09-01,3007.178368843352,1937-09-01,21.82163115664798,0
1938,264.0,1938-09-01,271.26150910470574,1938-09-01,7.261509104705738,0
1939,1554.0,1939-10-01,1476.2078749734671,1939-09-01,77.79212502653286,30
1940,2906.0,1940-09-01,2499.9226073076334,1940-09-01,406.07739269236663,0
1941,2241.0,1941-08-01,2294.9672925728223,1941-09-01,53.967292572822316,31
1942,933.0,1942-09-01,866.3707675033493,1942-09-01,66.62923249665073,0
1943,3571.0,1943-08-01,3378.613587878688,1943-09-01,192.38641212131188,31
1944,5484.0,1944-08-01,5152.9534205453,1944-08-01,331.0465794546999,0
1945,4131.0,1945-09-01,3836.023032129282,1945-09-01,294.976967870718,0
1946,7214.0,1946-09-01,6954.273083245867,1946-09-01,259.7269167541326,0
1947,3254.0,1947-09-01,2949.4808458567836,1947-09-01,304.5191541432164,0
1948,6809.0,1948-08-01,6934.175469629214,1948-09-01,125.1754696292137,31
1949,13021.0,1949-08-01,12152.31313140559,1949-08-01,868.68686859441,0
1950,8053.0,1950-09-01,7750.4866784939195,1950-09-01,302.5133215060805,0
1951,8107.0,1951-09-01,7835.3831805576365,1951-09-01,271.6168194423635,0
1952,16971.0,1952-08-01,15529.155330784706,1952-09-01,1441.8446692152938,31
1953,10542.0,1953-08-01,10190.616936047318,1953-08-01,351.3830639526823,0
1954,10071.0,1954-08-01,9969.67685090505,1954-08-01,101.32314909494926,0
1955,6889.0,1955-09-01,7030.254086961691,1955-09-01,141.25408696169143,0
1956,3886.0,1956-09-01,4125.058364895092,1956-09-01,239.05836489509238,0
1957,1360.0,1957-08-01,1505.4279203486558,1957-08-01,145.4279203486558,0
1958,1544.0,1958-09-01,1532.3847684382843,1958-09-01,11.615231561715746,0
1959,1419.0,1959-09-01,1233.7817081468047,1959-09-01,185.2182918531953,0
1960,744.0,1960-09-01,779.7503442847891,1960-09-01,35.750344284789094,0
1961,299.0,1961-09-01,292.3965435598978,1961-09-01,6.603456440102207,0
1962,166.0,1962-09-01,166.02918563918507,1962-09-01,0.029185639185072887,0
1963,87.0,1963-08-01,86.15669629431254,1963-08-01,0.843303705687461,0
1964,13.0,1964-09-01,12.89046356904108,1964-09-01,0.1095364309589204,0
