"month","FedFundsRateMonthly","FedFundsDifference","DiffLog","FundsDetrend"
"1954-07-01","0.8","","","-0.753719055571787"
"1954-08-01","1.22","0.4199999999999999","0.209720530982069","-0.36517986717340434"
"1954-09-01","1.07","-0.1499999999999999","-0.0699585886069102","-0.5466348630415683"
"1954-10-01","0.85","-0.22","-0.1123629681870443","-0.7980754096969361"
"1954-11-01","0.83","-0.02","-0.0108696722369039","-0.8494886557985669"
"1954-12-01","1.28","0.45","0.2198594761130199","-0.4308555920162478"
"1955-01-01","1.39","0.1099999999999998","0.0471179229770699","-0.3521506543233486"
"1955-02-01","1.29","-0.0999999999999998","-0.042741548377271","-0.48334495419021417"
"1955-03-01","1.35","0.06","0.0258635105899193","-0.45440688587535094"
"1955-04-01","1.43","0.0799999999999998","0.0334759291963895","-0.4053011141237304"
"1955-05-01","1.43","0.0","0.0","-0.4359887974543508"
"1955-06-01","1.64","0.2099999999999999","0.0828876598057677","-0.2564279670628007"
"1955-07-01","1.68","0.04","0.0150378773645404","-0.24657329003357598"
"1955-08-01","1.96","0.28","0.0993724738132036","0.0036225451596840763"
"1955-09-01","2.18","0.2200000000000002","0.0716919284561166","0.19420875261502335"
"1955-10-01","2.24","0.06","0.0186921330121525","0.22523451847874787"
"1955-11-01","2.35","0.1099999999999998","0.0333870160327369","0.3067475303728373"
"1955-12-01","2.48","0.1299999999999999","0.0380719479494078","0.4087937379986042"
"1956-01-01","2.45","-0.0299999999999998","-0.0086580627431145","0.3514167241782693"
"1956-02-01","2.5","0.0499999999999998","0.0143887374520996","0.3746569174613832"
"1956-03-01","2.5","0.0","0.0","0.34855203484869834"
"1956-04-01","2.62","0.1200000000000001","0.0337110573423116","0.44313690246969184"
"1956-05-01","2.75","0.1299999999999999","0.0352818141446398","0.5484436570091265"
"1956-06-01","2.71","-0.04","-0.0107239633629756","0.4845010158855434"
"1956-07-01","2.75","0.04","0.0107239633629756","0.501333464699143"
"1956-08-01","2.73","-0.02","-0.0053476063265953","0.45896175061636013"
"1956-09-01","2.95","0.2200000000000002","0.0573073452573065","0.6574027524898596"
"1956-10-01","2.96","0.0099999999999997","0.0025284463533585","0.6466698078007735"
"1956-11-01","2.88","-0.08","-0.0204088716312071","0.5467711814781318"
"1956-12-01","2.94","0.06","0.0153455696746604","0.5877101487147911"
