year,v2cacamps_ord,v2x_regime
1900,3.0,0.0
1901,3.0,0.0
1902,3.0,0.0
1903,3.0,0.0
1904,3.0,0.0
1905,3.0,0.0
1906,3.0,0.0
1907,3.0,0.0
1908,3.0,0.0
1909,3.0,0.0
1910,4.0,0.0
1911,4.0,0.0
1912,4.0,0.0
1913,4.0,0.0
1914,4.0,0.0
1915,4.0,0.0
1916,4.0,0.0
1917,4.0,1.0
1918,4.0,1.0
1919,4.0,1.0
1920,4.0,1.0
1921,4.0,1.0
1922,4.0,1.0
1923,4.0,1.0
1924,4.0,1.0
1925,4.0,1.0
1926,4.0,1.0
1927,4.0,1.0
1928,4.0,1.0
1929,4.0,1.0
1930,4.0,1.0
1931,3.0,1.0
1932,3.0,1.0
1933,3.0,1.0
1934,3.0,1.0
1935,2.0,1.0
1936,2.0,1.0
1937,2.0,1.0
1938,2.0,1.0
1939,2.0,1.0
1940,1.0,1.0
1941,1.0,1.0
1942,1.0,1.0
1943,1.0,1.0
1944,1.0,1.0
1945,1.0,1.0
1946,1.0,1.0
1947,1.0,1.0
1948,1.0,1.0
1949,1.0,1.0
1950,1.0,1.0
1951,1.0,1.0
1952,1.0,1.0
1953,1.0,1.0
1954,1.0,1.0
1955,1.0,1.0
1956,1.0,1.0
1957,1.0,1.0
1958,1.0,1.0
1959,1.0,1.0
1960,1.0,1.0
1961,1.0,1.0
1962,1.0,1.0
1963,1.0,1.0
1964,1.0,1.0
1965,1.0,1.0
1966,1.0,1.0
1967,1.0,1.0
1968,3.0,1.0
1969,2.0,1.0
1970,2.0,1.0
1971,2.0,1.0
1972,2.0,1.0
1973,2.0,1.0
1974,2.0,1.0
1975,2.0,1.0
1976,2.0,1.0
1977,2.0,1.0
1978,2.0,1.0
1979,2.0,1.0
1980,2.0,1.0
1981,2.0,1.0
1982,2.0,1.0
1983,2.0,1.0
1984,2.0,1.0
1985,2.0,1.0
1986,2.0,1.0
1987,2.0,1.0
1988,2.0,1.0
1989,2.0,1.0
1990,2.0,1.0
1991,2.0,1.0
1992,2.0,1.0
1993,2.0,1.0
1994,2.0,1.0
1995,2.0,1.0
1996,2.0,2.0
1997,2.0,2.0
1998,2.0,2.0
1999,2.0,2.0
2000,2.0,2.0
2001,2.0,2.0
2002,2.0,2.0
2003,2.0,2.0
2004,2.0,2.0
2005,2.0,2.0
2006,2.0,2.0
2007,2.0,2.0
2008,2.0,2.0
2009,2.0,2.0
2010,2.0,2.0
2011,2.0,2.0
2012,2.0,2.0
2013,2.0,2.0
2014,2.0,2.0
2015,2.0,2.0
2016,2.0,2.0
2017,2.0,2.0
2018,3.0,2.0
2019,4.0,2.0
2020,4.0,2.0
2021,4.0,2.0
2022,4.0,2.0
2023,4.0,2.0
2024,4.0,2.0
1900,1.0,0.0
1901,1.0,0.0
1902,1.0,0.0
1903,1.0,0.0
1904,1.0,0.0
1905,1.0,0.0
1906,1.0,0.0
1907,1.0,0.0
1908,1.0,0.0
1909,1.0,0.0
1910,1.0,0.0
1911,1.0,0.0
1912,1.0,0.0
1913,1.0,0.0
1914,1.0,0.0
1915,1.0,0.0
1916,1.0,0.0
1917,1.0,0.0
1918,1.0,0.0
1919,1.0,0.0
1920,1.0,0.0
1921,1.0,0.0
1922,1.0,0.0
1923,1.0,0.0
1924,1.0,0.0
1925,1.0,0.0
1926,1.0,0.0
1927,1.0,0.0
1928,1.0,0.0
1929,1.0,0.0
1930,1.0,0.0
1931,1.0,0.0
1932,1.0,0.0
1933,1.0,0.0
1934,1.0,0.0
1935,1.0,0.0
1936,1.0,0.0
1937,1.0,0.0
1938,1.0,0.0
1939,1.0,0.0
1940,1.0,0.0
1941,1.0,0.0
1942,1.0,0.0
1943,1.0,0.0
1944,1.0,0.0
1945,1.0,0.0
1946,1.0,0.0
1947,1.0,0.0
1948,1.0,0.0
1949,1.0,1.0
1950,1.0,2.0
1951,1.0,2.0
1952,1.0,2.0
1953,1.0,2.0
1954,1.0,2.0
1955,1.0,2.0
1956,1.0,2.0
1957,1.0,2.0
1958,1.0,2.0
1959,1.0,2.0
1960,1.0,2.0
1961,1.0,2.0
1962,1.0,2.0
1963,1.0,2.0
1964,1.0,2.0
1965,1.0,2.0
1966,1.0,2.0
1967,1.0,2.0
1968,1.0,2.0
1969,1.0,2.0
1970,1.0,2.0
1971,1.0,2.0
1972,1.0,2.0
1973,1.0,2.0
1974,1.0,2.0
1975,1.0,1.0
1976,1.0,2.0
1977,1.0,2.0
1978,1.0,2.0
1979,1.0,2.0
1980,1.0,0.0
1981,1.0,0.0
1982,1.0,0.0
1983,1.0,0.0
1984,1.0,0.0
1985,1.0,0.0
1986,1.0,0.0
1987,1.0,0.0
1988,1.0,2.0
1989,1.0,2.0
1990,1.0,2.0
1991,1.0,1.0
1992,1.0,2.0
1993,1.0,2.0
1994,1.0,2.0
1995,1.0,2.0
1996,1.0,2.0
1997,1.0,2.0
1998,1.0,2.0
1999,1.0,2.0
2000,1.0,2.0
2001,1.0,2.0
2002,1.0,2.0
2003,1.0,2.0
2004,1.0,2.0
2005,1.0,2.0
2006,1.0,2.0
2007,1.0,2.0
2008,1.0,2.0
2009,1.0,2.0
2010,2.0,2.0
2011,2.0,2.0
2012,2.0,2.0
2013,2.0,2.0
2014,2.0,2.0
2015,2.0,2.0
2016,2.0,2.0
2017,2.0,2.0
2018,2.0,2.0
2019,2.0,2.0
2020,2.0,2.0
2021,2.0,2.0
2022,2.0,2.0
2023,2.0,3.0
2024,2.0,2.0
1900,1.0,0.0
1901,1.0,0.0
1902,1.0,0.0
1903,1.0,0.0
1904,1.0,0.0
1905,2.0,0.0
1906,2.0,0.0
1907,2.0,0.0
1908,2.0,0.0
1909,2.0,0.0
1910,2.0,0.0
1911,2.0,0.0
1912,2.0,0.0
1913,2.0,0.0
1914,2.0,0.0
1915,2.0,0.0
1916,2.0,0.0
1917,2.0,1.0
1918,2.0,1.0
1919,2.0,1.0
1920,1.0,1.0
1921,1.0,1.0
1922,1.0,3.0
1923,1.0,3.0
1924,1.0,3.0
1925,1.0,3.0
1926,1.0,3.0
1927,1.0,3.0
1928,1.0,3.0
1929,1.0,3.0
1930,1.0,3.0
1931,1.0,3.0
1932,1.0,3.0
1933,1.0,3.0
1934,1.0,3.0
1935,1.0,3.0
1936,1.0,3.0
1937,1.0,3.0
1938,1.0,3.0
1939,1.0,3.0
1940,1.0,3.0
1941,1.0,3.0
1942,1.0,3.0
1943,1.0,3.0
1944,1.0,3.0
1945,1.0,3.0
1946,1.0,3.0
1947,1.0,3.0
1948,1.0,3.0
1949,1.0,3.0
1950,0.0,3.0
1951,0.0,3.0
1952,0.0,3.0
1953,0.0,3.0
1954,0.0,3.0
1955,0.0,3.0
1956,0.0,3.0
1957,0.0,3.0
1958,0.0,3.0
1959,0.0,3.0
1960,0.0,3.0
1961,0.0,3.0
1962,0.0,3.0
1963,0.0,3.0
1964,0.0,3.0
1965,0.0,3.0
1966,0.0,3.0
1967,0.0,3.0
1968,0.0,3.0
1969,0.0,3.0
1970,0.0,3.0
1971,0.0,3.0
1972,0.0,3.0
1973,0.0,3.0
1974,0.0,3.0
1975,0.0,3.0
1976,0.0,3.0
1977,0.0,3.0
1978,0.0,3.0
1979,0.0,3.0
1980,0.0,3.0
1981,0.0,3.0
1982,0.0,3.0
1983,0.0,3.0
1984,0.0,3.0
1985,0.0,3.0
1986,0.0,3.0
