,Date,Property_Crime,Violent_Crime
60,1990-01-01,8829,2385
61,1990-02-01,6991,1903
62,1990-03-01,7860,2116
63,1990-04-01,7648,2105
64,1990-05-01,7281,2387
65,1990-06-01,7337,2502
66,1990-07-01,7761,2502
67,1990-08-01,8153,2692
68,1990-09-01,8672,2398
69,1990-10-01,9278,2356
70,1990-11-01,9022,2112
71,1990-12-01,10052,2302
72,1991-01-01,8275,2049
73,1991-02-01,7452,1846
74,1991-03-01,8311,2136
75,1991-04-01,8192,2117
76,1991-05-01,8245,2473
77,1991-06-01,8160,2361
78,1991-07-01,8923,3018
79,1991-08-01,8694,2841
80,1991-09-01,8604,2556
81,1991-10-01,9095,2413
82,1991-11-01,8212,2199
83,1991-12-01,8179,2271
84,1992-01-01,7684,2128
85,1992-02-01,7064,2057
86,1992-03-01,7968,2360
87,1992-04-01,7566,2268
88,1992-05-01,7911,2601
89,1992-06-01,7101,2229
90,1992-07-01,7858,2182
91,1992-08-01,8028,2370
92,1992-09-01,7436,2087
93,1992-10-01,7887,1943
94,1992-11-01,7927,2201
95,1992-12-01,7707,2036
96,1993-01-01,8047,2370
97,1993-02-01,6181,1540
98,1993-03-01,7688,2113
99,1993-04-01,7530,2080
100,1993-05-01,7907,2256
101,1993-06-01,7813,2300
102,1993-07-01,8050,2717
103,1993-08-01,8221,2424
104,1993-09-01,8589,2377
105,1993-10-01,8754,2369
106,1993-11-01,8375,2410
107,1993-12-01,8035,2226
108,1994-01-01,6825,2062
109,1994-02-01,6492,1917
110,1994-03-01,7815,2290
111,1994-04-01,7694,2395
112,1994-05-01,7784,2444
113,1994-06-01,7940,2439
114,1994-07-01,8120,2516
115,1994-08-01,8246,2262
116,1994-09-01,8537,2316
117,1994-10-01,9074,2641
118,1994-11-01,8412,2070
119,1994-12-01,8262,2131
120,1995-01-01,7740,2188
121,1995-02-01,6421,1653
122,1995-03-01,7586,1785
123,1995-04-01,7581,1884
124,1995-05-01,7740,2164
125,1995-06-01,8232,2326
126,1995-07-01,7637,2068
127,1995-08-01,8604,1942
128,1995-09-01,8933,2125
129,1995-10-01,9701,2330
130,1995-11-01,7890,1673
131,1995-12-01,8140,1882
132,1996-01-01,8087,1947
133,1996-02-01,7804,1868
134,1996-03-01,8506,2278
135,1996-04-01,7791,1678
136,1996-05-01,7531,1639
137,1996-06-01,7565,1842
138,1996-07-01,9147,2061
139,1996-08-01,7829,2003
140,1996-09-01,8319,2079
141,1996-10-01,9432,1957
142,1996-11-01,8189,1725
143,1996-12-01,8560,2168
144,1997-01-01,8375,1715
145,1997-02-01,6785,1418
146,1997-03-01,8838,1693
147,1997-04-01,7829,1617
148,1997-05-01,9115,1934
149,1997-06-01,8270,2113
150,1997-07-01,8613,2372
151,1997-08-01,8523,1938
152,1997-09-01,8246,1982
153,1997-10-01,8661,1974
154,1997-11-01,9098,1708
155,1997-12-01,7472,1515
156,1998-01-01,10807,2454
157,1998-02-01,7178,1736
158,1998-03-01,6999,1888
159,1998-04-01,7657,1773
160,1998-05-01,7578,1881
161,1998-06-01,7229,1607
162,1998-07-01,7695,2084
163,1998-08-01,8652,2487
164,1998-09-01,7949,2351
165,1998-10-01,8185,2312
166,1998-11-01,7902,1927
167,1998-12-01,7837,1927
168,1999-01-01,6720,1718
169,1999-02-01,6114,1449
170,1999-03-01,6722,1802
171,1999-04-01,6431,1719
172,1999-05-01,6889,1876
173,1999-06-01,6422,1763
174,1999-07-01,7250,2323
175,1999-08-01,7547,2089
176,1999-09-01,6874,1823
177,1999-10-01,7213,1840
178,1999-11-01,6830,1874
179,1999-12-01,6694,1702
180,2000-01-01,6576,1743
181,2000-02-01,5391,1530
182,2000-03-01,6657,1848
183,2000-04-01,6103,1842
184,2000-05-01,6433,1853
185,2000-06-01,5835,1784
186,2000-07-01,7274,2284
187,2000-08-01,6437,1887
188,2000-09-01,6357,1906
189,2000-10-01,6551,1987
190,2000-11-01,6420,1779
191,2000-12-01,5630,1669
192,2001-01-01,5882,1540
193,2001-02-01,5065,1329
194,2001-03-01,5352,1762
195,2001-04-01,5884,1720
196,2001-05-01,5864,1778
197,2001-06-01,5641,2013
198,2001-07-01,6170,2024
199,2001-08-01,6226,2094
200,2001-09-01,6185,1791
201,2001-10-01,6724,1656
202,2001-11-01,6245,1873
203,2001-12-01,5642,1367
204,2002-01-01,6276,1696
205,2002-02-01,4059,853
206,2002-03-01,5104,1567
207,2002-04-01,5107,1545
208,2002-05-01,5432,1764
209,2002-06-01,5278,1670
210,2002-07-01,5485,1833
211,2002-08-01,5933,1985
212,2002-09-01,6133,2065
213,2002-10-01,5392,1720
214,2002-11-01,5460,1495
215,2002-12-01,7865,1747
216,2003-01-01,5303,1320
217,2003-02-01,4573,1297
218,2003-03-01,4546,1061
219,2003-04-01,4731,1432
220,2003-05-01,5323,1588
221,2003-06-01,6339,2145
222,2003-07-01,5604,1919
223,2003-08-01,5687,1704
224,2003-09-01,6715,1794
225,2003-10-01,6284,1517
226,2003-11-01,5948,1523
227,2003-12-01,5500,1427
228,2004-01-01,4898,1294
229,2004-02-01,4627,1197
230,2004-03-01,5073,1166
231,2004-04-01,4980,1436
232,2004-05-01,4984,1334
233,2004-06-01,4949,1450
234,2004-07-01,5224,1547
235,2004-08-01,4949,1465
236,2004-09-01,4747,1356
237,2004-10-01,4937,1244
238,2004-11-01,4805,1065
239,2004-12-01,4976,1361
240,2005-01-01,4498,1465
241,2005-02-01,3870,1299
242,2005-03-01,4443,1649
243,2005-04-01,4719,1900
244,2005-05-01,4870,2044
245,2005-06-01,4660,1951
246,2005-07-01,3895,1777
247,2005-08-01,5451,2270
248,2005-09-01,4814,1920
249,2005-10-01,5179,1846
250,2005-11-01,4254,1560
251,2005-12-01,4376,1593
252,2006-01-01,5615,1749
253,2006-02-01,4579,1379
254,2006-03-01,5556,1763
255,2006-04-01,4432,1763
256,2006-05-01,5174,1969
257,2006-06-01,4783,1928
258,2006-07-01,5652,2027
259,2006-08-01,5651,2045
260,2006-09-01,5441,1846
261,2006-10-01,6020,1874
262,2006-11-01,5398,1556
263,2006-12-01,4936,1493
264,2007-01-01,5436,1477
265,2007-02-01,3540,1052
266,2007-03-01,4846,1592
267,2007-04-01,4865,1583
268,2007-05-01,5072,1988
269,2007-06-01,4664,1712
270,2007-07-01,4963,1932
271,2007-08-01,5090,1781
272,2007-09-01,5178,1845
273,2007-10-01,5620,1782
274,2007-11-01,5152,1485
275,2007-12-01,4495,1461
276,2008-01-01,5213,1353
277,2008-02-01,3254,969
278,2008-03-01,4404,1409
279,2008-04-01,4604,1637
280,2008-05-01,4708,1566
281,2008-06-01,4521,1538
282,2008-07-01,5049,1993
283,2008-08-01,4778,1850
284,2008-09-01,4728,1594
285,2008-10-01,4950,1599
286,2008-11-01,4754,1391
287,2008-12-01,3812,1083
288,2009-01-01,3669,1223
289,2009-02-01,3130,1041
290,2009-03-01,4053,1355
291,2009-04-01,4071,1520
292,2009-05-01,4172,1777
293,2009-06-01,4259,1825
294,2009-07-01,4687,1715
295,2009-08-01,4677,1865
296,2009-09-01,4688,1654
297,2009-10-01,5120,1514
298,2009-11-01,4780,1358
299,2009-12-01,4259,1251
300,2010-01-01,3782,1224
301,2010-02-01,2745,980
302,2010-03-01,3722,1299
303,2010-04-01,3992,1450
304,2010-05-01,4095,1611
305,2010-06-01,4285,1568
306,2010-07-01,4605,1699
307,2010-08-01,4555,1787
308,2010-09-01,4393,1530
309,2010-10-01,4356,1461
310,2010-11-01,4313,1271
311,2010-12-01,4048,1093
312,2011-01-01,3397,1054
313,2011-02-01,2326,833
314,2011-03-01,3378,1195
315,2011-04-01,3673,1237
316,2011-05-01,3796,1474
317,2011-06-01,3993,1512
318,2011-07-01,4221,1638
319,2011-08-01,4241,1532
320,2011-09-01,4030,1243
321,2011-10-01,4184,1236
322,2011-11-01,3982,1211
323,2011-12-01,3496,1089
324,2012-01-01,3361,1025
325,2012-02-01,2920,931
326,2012-03-01,3045,1169
327,2012-04-01,3409,1261
328,2012-05-01,3559,1412
329,2012-06-01,3419,1378
330,2012-07-01,3647,1613
331,2012-08-01,3695,1550
332,2012-09-01,3600,1254
333,2012-10-01,3838,1188
334,2012-11-01,3733,1174
335,2012-12-01,3345,1068
336,2013-01-01,3363,1140
337,2013-02-01,2503,861
338,2013-03-01,3389,981
339,2013-04-01,3572,1086
340,2013-05-01,3864,1491
341,2013-06-01,3589,1475
342,2013-07-01,3965,1500
343,2013-08-01,3749,1573
344,2013-09-01,3391,1297
345,2013-10-01,3368,1085
