Date,Price,Open,High,Low,Vol.,Change %
02-09-2026,90.756,90.518,90.811,90.373,,0.18%
02-06-2026,90.596,90.315,90.845,90.173,,0.31%
02-05-2026,90.319,90.362,90.521,90.063,,-0.08%
02-04-2026,90.391,90.377,90.535,90.233,,-0.04%
02-03-2026,90.423,90.328,90.52,90.022,,-0.94%
02-02-2026,91.285,91.778,92.023,91.28,,-0.45%
01/30/2026,91.694,91.87,92.027,91.667,,-0.10%
01/29/2026,91.782,92.031,92.129,91.779,,-0.28%
01/28/2026,92.043,91.54,92.22,91.418,,0.62%
01/27/2026,91.474,91.775,91.896,91.472,,-0.26%
01/26/2026,91.713,91.531,91.79,91.5,,0.04%
01/23/2026,91.675,91.559,91.988,91.415,,0.11%
01/22/2026,91.57,91.537,91.681,91.279,,0.03%
01/21/2026,91.546,91.055,91.753,90.998,,0.47%
01/20/2026,91.119,90.905,91.119,90.871,,0.24%
01/19/2026,90.902,90.717,91.015,90.61,,0.21%
01/16/2026,90.709,90.318,90.891,90.318,,0.38%
01/15/2026,90.362,90.19,90.439,90.181,,0.13%
01/14/2026,90.248,90.265,90.391,89.983,,-0.04%
01/13/2026,90.282,90.233,90.351,90.165,,0.17%
01-12-2026,90.132,90.257,90.272,90.117,,-0.12%
01-09-2026,90.244,89.883,90.318,89.855,,0.38%
01-08-2026,89.905,89.852,90.132,89.73,,0.05%
01-07-2026,89.864,90.166,90.232,89.807,,-0.27%
01-06-2026,90.108,90.231,90.264,90.05,,-0.14%
01-05-2026,90.233,90.131,90.311,90.095,,0.24%
01-02-2026,90.014,89.942,90.255,89.864,,0.05%
01-01-2026,89.968,89.955,89.993,89.865,,0.11%
12/31/2025,89.871,89.78,90.001,89.727,,0.11%
12/30/2025,89.77,89.974,90.02,89.687,,-0.14%
12/29/2025,89.9,89.837,89.993,89.83,,0.12%
12/26/2025,89.796,89.753,89.962,89.697,,0.07%
12/25/2025,89.736,89.735,89.736,89.735,,-0.09%
12/24/2025,89.814,89.534,89.86,89.419,,0.42%
12/23/2025,89.436,89.563,89.851,89.411,,-0.19%
12/22/2025,89.604,89.542,89.768,89.446,,0.03%
12/19/2025,89.577,90.238,90.302,89.255,,-0.76%
12/18/2025,90.267,90.389,90.464,90.042,,-0.16%
12/17/2025,90.409,91.02,91.075,89.906,,-0.59%
12/16/2025,90.949,90.777,91.082,90.71,,0.19%
12/15/2025,90.775,90.55,90.793,90.51,,0.21%
12-12-2025,90.584,90.188,90.652,90.174,,0.37%
12-11-2025,90.251,89.875,90.488,89.846,,0.51%
12-10-2025,89.793,89.908,90.084,89.763,,-0.14%
12-09-2025,89.917,90.13,90.207,89.825,,-0.24%
12-08-2025,90.13,89.962,90.267,89.962,,0.21%
12-05-2025,89.945,89.9,90.076,89.7,,0.12%
12-04-2025,89.837,90.15,90.462,89.726,,-0.37%
12-03-2025,90.171,89.923,90.329,89.857,,0.28%
12-02-2025,89.918,89.606,90.014,89.591,,0.34%
12-01-2025,89.613,89.325,89.8,89.325,,0.29%
11/28/2025,89.357,89.361,89.516,89.316,,-0.01%
11/27/2025,89.365,89.161,89.409,89.116,,0.23%
11/26/2025,89.161,89.17,89.288,89.146,,0.01%
11/25/2025,89.153,89.148,89.274,88.979,,0.01%
11/24/2025,89.148,89.527,89.538,89.063,,-0.55%
11/21/2025,89.641,88.692,89.734,88.602,,1.04%
11/20/2025,88.715,88.487,88.763,88.483,,0.25%
11/19/2025,88.492,88.557,88.623,88.416,,-0.07%
11/18/2025,88.552,88.61,88.697,88.495,,-0.09%
11/17/2025,88.636,88.705,88.748,88.559,,-0.06%
11/14/2025,88.689,88.777,88.808,88.636,,-0.14%
11/13/2025,88.817,88.59,88.831,88.582,,0.26%
11-12-2025,88.59,88.501,88.663,88.499,,0.14%
11-11-2025,88.467,88.707,88.726,88.421,,-0.27%
11-10-2025,88.707,88.65,88.746,88.623,,0.05%
11-07-2025,88.665,88.625,88.731,88.59,,-0.01%
11-06-2025,88.673,88.632,88.693,88.459,,0.13%
11-05-2025,88.557,88.71,88.774,88.545,,-0.20%
11-04-2025,88.732,88.722,88.779,88.332,,0.01%
11-03-2025,88.724,88.722,88.806,88.697,,-0.05%
10/31/2025,88.769,88.637,88.814,88.566,,0.15%
10/30/2025,88.632,88.314,88.765,88.308,,0.25%
10/29/2025,88.408,88.232,88.493,88.141,,0.20%
